Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
38,Sun,19/05/2024,16:00,Luton Town,2,2–4,1.1,Fulham,"12,027",Kenilworth Road Stadium,Matt Donohue,Match Report,
38,Sun,19/05/2024,16:00,Sheffield Utd,1,0–3,3.1,Tottenham,"29,116",Bramall Lane,Andy Madley,Match Report,
38,Sun,19/05/2024,16:00,Manchester City,1.9,3–1,0.4,West Ham,"55,097",Etihad Stadium,John Brooks,Match Report,
38,Sun,19/05/2024,16:00,Arsenal,2.9,2–1,0.6,Everton,"60,312",Emirates Stadium,Michael Oliver,Match Report,
38,Sun,19/05/2024,16:00,Brighton,1.7,0–2,1.3,Manchester Utd,"31,662",The American Express Community Stadium,Craig Pawson,Match Report,
38,Sun,19/05/2024,16:00,Brentford,1.1,2–4,3.4,Newcastle Utd,"17,124",Gtech Community Stadium,Simon Hooper,Match Report,
38,Sun,19/05/2024,16:00,Chelsea,1.1,2–1,2.2,Bournemouth,"39,724",Stamford Bridge,Anthony Taylor,Match Report,
38,Sun,19/05/2024,16:00,Crystal Palace,2.5,5–0,0.9,Aston Villa,"25,191",Selhurst Park,Darren Bond,Match Report,
38,Sun,19/05/2024,16:00,Liverpool,4.5,2–0,0.5,Wolves,"60,059",Anfield,Chris Kavanagh,Match Report,
38,Sun,19/05/2024,16:00,Burnley,1.2,1–2,1.7,Nott'ham Forest,"21,109",Turf Moor,Graham Scott,Match Report,
