Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
15,Tue,05/12/2023,19:30,Wolves,0.8,1–0,0.9,Burnley,"30,439",Molineux Stadium,Jarred Gillett,Match Report,
15,Tue,05/12/2023,20:15,Luton Town,0.5,3–4,2.2,Arsenal,"11,031",Kenilworth Road Stadium,Samuel Barrott,Match Report,
15,Wed,06/12/2023,19:30,Sheffield Utd,1,0–2,1.7,Liverpool,"31,406",Bramall Lane,Simon Hooper,Match Report,
15,Wed,06/12/2023,19:30,Crystal Palace,1,0–2,1.8,Bournemouth,"25,078",Selhurst Park,Craig Pawson,Match Report,
15,Wed,06/12/2023,19:30,Brighton,1.5,2–1,1.5,Brentford,"31,571",The American Express Community Stadium,Peter Bankes,Match Report,
15,Wed,06/12/2023,19:30,Fulham,2.5,5–0,0.3,Nott'ham Forest,"24,105",Craven Cottage,Joshua Smith,Match Report,
15,Wed,06/12/2023,20:15,Aston Villa,2.3,1–0,0.6,Manchester City,"41,421",Villa Park,John Brooks,Match Report,
15,Wed,06/12/2023,20:15,Manchester Utd,4.1,2–1,1.5,Chelsea,"73,607",Old Trafford,Chris Kavanagh,Match Report,
15,Thu,07/12/2023,19:30,Everton,3.3,3–0,1.5,Newcastle Utd,"38,198",Goodison Park,Tim Robinson,Match Report,
15,Thu,07/12/2023,20:15,Tottenham,1.8,1–2,2.2,West Ham,"61,171",Tottenham Hotspur Stadium,Michael Salisbury,Match Report,
