Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,20/09/2025,12:30,Liverpool,Everton,"60,342",Anfield,Darren England,Match Report,
5,Sat,20/09/2025,15:00,Wolves,Leeds United,"30,807",Molineux Stadium,Anthony Taylor,Match Report,
5,Sat,20/09/2025,15:00,Brighton,Tottenham,"31,488",The American Express Stadium,Chris Kavanagh,Match Report,
5,Sat,20/09/2025,15:00,Burnley,Nott'ham Forest,"21,475",Turf Moor,Thomas Bramall,Match Report,
5,Sat,20/09/2025,15:00,West Ham,Crystal Palace,"62,455",London Stadium,Tony Harrington,Match Report,
5,Sat,20/09/2025,17:30,Manchester Utd,Chelsea,"74,124",Old Trafford,Peter Bankes,Match Report,
5,Sat,20/09/2025,20:00,Fulham,Brentford,"26,113",Craven Cottage,Michael Oliver,Match Report,
5,Sun,21/09/2025,14:00,Bournemouth,Newcastle Utd,"11,212",Vitality Stadium,Robert Jones,Match Report,
5,Sun,21/09/2025,14:00,Sunderland,Aston Villa,"46,261",Stadium of Light,Samuel Barrott,Match Report,
5,Sun,21/09/2025,16:30,Arsenal,Manchester City,"60,161",Emirates Stadium,Stuart Attwell,Match Report,
