Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
06/08/2022,15:00,Matchweek 1,Sat,Home,W,2,0,Aston Villa,2,7,3,42.9,0.29,0.67,15.7,0,0,0,0.6,0.6,0.09,1.4,1.4,Match Report
13/08/2022,15:00,Matchweek 2,Sat,Away,L,0,4,Manchester City,0,3,1,33.3,0,0,20.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report
20/08/2022,17:30,Matchweek 3,Sat,Home,L,0,3,Arsenal,0,6,1,16.7,0,0,18.5,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
27/08/2022,15:00,Matchweek 4,Sat,Away,L,0,9,Liverpool,0,5,2,40,0,0,18.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Match Report
31/08/2022,19:30,Matchweek 5,Wed,Home,D,0,0,Wolves,0,5,2,40,0,0,16.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Match Report
03/09/2022,15:00,Matchweek 6,Sat,Away,W,3,2,Nott'ham Forest,3,8,3,37.5,0.38,1,17.5,0,0,0,0.8,0.8,0.1,2.2,2.2,Match Report
17/09/2022,15:00,Matchweek 8,Sat,Away,D,1,1,Newcastle Utd,1,10,3,30,0.1,0.33,18.1,0,0,0,0.7,0.7,0.07,0.3,0.3,Match Report
01/10/2022,15:00,Matchweek 9,Sat,Home,D,0,0,Brentford,0,7,0,0,0,,15.5,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report
08/10/2022,15:00,Matchweek 10,Sat,Home,W,2,1,Leicester City,2,10,4,40,0.2,0.5,15,1,0,0,1.1,1.1,0.11,0.9,0.9,Match Report
15/10/2022,15:00,Matchweek 11,Sat,Away,D,2,2,Fulham,2,10,6,60,0.2,0.33,13,0,0,0,1,1,0.11,1,1,Match Report
19/10/2022,19:30,Matchweek 12,Wed,Home,L,0,1,Southampton,0,15,3,20,0,0,17.6,1,0,0,1,1,0.07,-1,-1,Match Report
24/10/2022,20:00,Matchweek 13,Mon,Away,L,0,2,West Ham,0,5,3,60,0,0,13.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Match Report
29/10/2022,15:00,Matchweek 14,Sat,Home,L,2,3,Tottenham,2,6,4,66.7,0.33,0.5,14,0,0,0,0.5,0.5,0.09,1.5,1.5,Match Report
05/11/2022,15:00,Matchweek 15,Sat,Away,L,3,4,Leeds United,3,9,5,55.6,0.33,0.6,12.4,0,0,0,1.5,1.5,0.16,1.5,1.5,Match Report
12/11/2022,15:00,Matchweek 16,Sat,Home,W,3,0,Everton,3,16,8,50,0.19,0.38,13.6,0,0,0,2.4,2.4,0.16,0.6,0.6,Match Report
27/12/2022,17:30,Matchweek 17,Tue,Away,L,0,2,Chelsea,0,9,4,44.4,0,0,21,2,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
31/12/2022,15:00,Matchweek 18,Sat,Home,L,0,2,Crystal Palace,0,6,2,33.3,0,0,14.8,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Match Report
03/01/2023,20:00,Matchweek 19,Tue,Away,L,0,3,Manchester Utd,0,7,4,57.1,0,0,15.7,1,0,0,0.6,0.6,0.08,-0.6,-0.6,Match Report
14/01/2023,17:30,Matchweek 20,Sat,Away,L,0,2,Brentford,0,7,2,28.6,0,0,18.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
21/01/2023,15:00,Matchweek 21,Sat,Home,D,1,1,Nott'ham Forest,1,16,3,18.8,0.06,0.33,15.4,2,0,0,1.4,1.4,0.09,-0.4,-0.4,Match Report
04/02/2023,15:00,Matchweek 22,Sat,Away,L,0,1,Brighton,0,12,2,16.7,0,0,15.3,0,0,0,1.1,1.1,0.1,-1.1,-1.1,Match Report
11/02/2023,17:30,Matchweek 23,Sat,Home,D,1,1,Newcastle Utd,1,11,4,36.4,0.09,0.25,16.5,1,0,0,1.5,1.5,0.14,-0.5,-0.5,Match Report
18/02/2023,15:00,Matchweek 24,Sat,Away,W,1,0,Wolves,1,5,1,20,0.2,1,14,0,0,0,1.1,1.1,0.21,-0.1,-0.1,Match Report
25/02/2023,17:30,Matchweek 25,Sat,Home,L,1,4,Manchester City,1,13,2,15.4,0.08,0.5,14.2,0,0,0,1,1,0.08,0,0,Match Report
04/03/2023,15:00,Matchweek 26,Sat,Away,L,2,3,Arsenal,2,4,4,100,0.5,0.5,8.1,0,0,0,1.3,1.3,0.33,0.7,0.7,Match Report
11/03/2023,12:30,Matchweek 27,Sat,Home,W,1,0,Liverpool,1,5,2,40,0.2,0.5,12.3,0,0,0,0.9,0.9,0.17,0.1,0.1,Match Report
18/03/2023,15:00,Matchweek 28,Sat,Away,L,0,3,Aston Villa,0,10,3,30,0,0,12.6,1,0,0,1.3,1.3,0.14,-1.3,-1.3,Match Report
01/04/2023,15:00,Matchweek 29,Sat,Home,W,2,1,Fulham,2,12,6,50,0.17,0.33,12.5,0,0,0,2.6,2.6,0.24,-0.6,-0.6,Match Report
04/04/2023,19:45,Matchweek 7,Tue,Home,L,0,2,Brighton,0,14,3,21.4,0,0,15.8,0,0,0,1.7,1.7,0.13,-1.7,-1.7,Match Report
08/04/2023,15:00,Matchweek 30,Sat,Away,W,1,0,Leicester City,1,19,7,36.8,0.05,0.14,14.7,1,0,0,2,2,0.12,-1,-1,Match Report
For Bournemouth,,,,,,,,,Standard,,,,,,,,,,Expected,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
15/04/2023,15:00,Matchweek 31,Sat,Away,W,3,2,Tottenham,3,9,6,66.7,0.33,0.5,17.9,0,0,0,1.3,1.3,0.15,1.7,1.7,Match Report
