Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
13/08/2023,16:30,Matchweek 1,Sun,Home,D,1,1,Liverpool,1,10,4,40,0.1,0.25,13.2,1,0,0,1.4,1.4,0.14,-0.4,-0.4,Match Report
20/08/2023,16:30,Matchweek 2,Sun,Away,L,1,3,West Ham,1,16,3,18.8,0.06,0.33,17.1,0,0,1,2.5,1.7,0.11,-1.5,-0.7,Match Report
25/08/2023,20:00,Matchweek 3,Fri,Home,W,3,0,Luton Town,3,19,8,42.1,0.16,0.38,14.2,1,0,0,2.2,2.2,0.12,0.8,0.8,Match Report
02/09/2023,15:00,Matchweek 4,Sat,Home,L,0,1,Nott'ham Forest,0,21,2,9.5,0,0,17.7,2,0,0,2.3,2.3,0.11,-2.3,-2.3,Match Report
17/09/2023,14:00,Matchweek 5,Sun,Away,D,0,0,Bournemouth,0,14,6,42.9,0,0,15,1,0,0,1.8,1.8,0.14,-1.8,-1.8,Match Report
24/09/2023,14:00,Matchweek 6,Sun,Home,L,0,1,Aston Villa,0,10,4,40,0,0,17.8,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Match Report
02/10/2023,20:00,Matchweek 7,Mon,Away,W,2,0,Fulham,2,11,4,36.4,0.18,0.5,19.8,1,0,0,1.7,1.7,0.16,0.3,0.3,Match Report
07/10/2023,15:00,Matchweek 8,Sat,Away,W,4,1,Burnley,3,8,4,50,0.25,0.5,18.1,0,1,1,1.9,1.1,0.13,1.1,0.9,Match Report
21/10/2023,17:30,Matchweek 9,Sat,Home,D,2,2,Arsenal,2,10,4,40,0.1,0.25,20.4,0,1,1,1.3,0.6,0.06,0.7,0.4,Match Report
28/10/2023,12:30,Matchweek 10,Sat,Home,L,0,2,Brentford,0,17,2,11.8,0,0,16.1,1,0,0,1.9,1.9,0.12,-1.9,-1.9,Match Report
