Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
05/08/2022,20:00,Matchweek 1,Fri,Home,L,0,2,Arsenal,0,10,2,20,0,0,14.2,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Match Report
15/08/2022,20:00,Matchweek 2,Mon,Away,D,1,1,Liverpool,1,7,3,42.9,0.14,0.33,14.7,0,0,0,1,1,0.15,0,0,Match Report
20/08/2022,15:00,Matchweek 3,Sat,Home,W,3,1,Aston Villa,3,16,8,50,0.19,0.38,15.6,1,0,1,2.6,1.8,0.11,0.4,1.2,Match Report
27/08/2022,15:00,Matchweek 4,Sat,Away,L,2,4,Manchester City,1,2,2,100,0.5,0.5,20.6,0,0,0,0.1,0.1,0.06,0.9,0.9,Match Report
30/08/2022,19:30,Matchweek 5,Tue,Home,D,1,1,Brentford,1,13,4,30.8,0.08,0.25,19.2,0,0,0,1,1,0.08,0,0,Match Report
03/09/2022,15:00,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,0,19,9,47.4,0,0,20,0,0,0,1,1,0.05,-1,-1,Match Report
01/10/2022,15:00,Matchweek 9,Sat,Home,L,1,2,Chelsea,1,7,3,42.9,0.14,0.33,20.1,0,0,0,0.4,0.4,0.06,0.6,0.6,Match Report
09/10/2022,14:00,Matchweek 10,Sun,Home,W,2,1,Leeds United,2,13,5,38.5,0.15,0.4,17.7,2,0,0,1.1,1.1,0.08,0.9,0.9,Match Report
15/10/2022,12:30,Matchweek 11,Sat,Away,D,0,0,Leicester City,0,8,1,12.5,0,0,21.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report
18/10/2022,20:15,Matchweek 12,Tue,Home,W,2,1,Wolves,2,14,4,28.6,0.14,0.5,17.3,1,0,0,1.2,1.2,0.09,0.8,0.8,Match Report
22/10/2022,15:00,Matchweek 13,Sat,Away,L,0,3,Everton,0,9,2,22.2,0,0,17.1,2,0,0,0.9,0.9,0.11,-0.9,-0.9,Match Report
29/10/2022,15:00,Matchweek 14,Sat,Home,W,1,0,Southampton,1,12,3,25,0.08,0.33,20,1,0,0,0.9,0.9,0.07,0.1,0.1,Match Report
06/11/2022,14:00,Matchweek 15,Sun,Away,W,2,1,West Ham,2,15,6,40,0.13,0.33,20.5,2,0,0,1,1,0.07,1,1,Match Report
