Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
07/08/2022,14:00,Matchweek 1,Sun,Home,D,2,2,Brentford,2,14,5,35.7,0.14,0.4,23.1,0,0,0,0.6,0.6,0.04,1.4,1.4,Match Report
13/08/2022,15:00,Matchweek 2,Sat,Away,L,2,4,Arsenal,1,6,2,33.3,0.17,0.5,14.6,0,0,0,0.5,0.5,0.08,0.5,0.5,Match Report
20/08/2022,15:00,Matchweek 3,Sat,Home,L,1,2,Southampton,1,6,1,16.7,0.17,1,17.8,1,0,0,0.3,0.3,0.05,0.7,0.7,Match Report
27/08/2022,15:00,Matchweek 4,Sat,Away,L,1,2,Chelsea,1,17,5,29.4,0.06,0.2,17.9,0,0,0,2.5,2.5,0.15,-1.5,-1.5,Match Report
01/09/2022,20:00,Matchweek 5,Thu,Home,L,0,1,Manchester Utd,0,10,2,20,0,0,23.5,2,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
04/09/2022,14:00,Matchweek 6,Sun,Away,L,2,5,Brighton,2,6,4,66.7,0.33,0.5,14.8,0,0,0,1.4,1.4,0.24,0.6,0.6,Match Report
17/09/2022,17:30,Matchweek 8,Sat,Away,L,2,6,Tottenham,2,18,6,33.3,0.06,0.17,22.7,0,1,1,1.8,1,0.05,0.2,0,Match Report
03/10/2022,20:00,Matchweek 9,Mon,Home,W,4,0,Nott'ham Forest,4,17,7,41.2,0.24,0.57,17.7,1,0,0,1.3,1.3,0.08,2.7,2.7,Match Report
08/10/2022,15:00,Matchweek 10,Sat,Away,L,1,2,Bournemouth,1,9,5,55.6,0.11,0.2,13.2,1,0,0,1,1,0.12,0,0,Match Report
15/10/2022,12:30,Matchweek 11,Sat,Home,D,0,0,Crystal Palace,0,14,5,35.7,0,0,19.4,1,0,0,1,1,0.07,-1,-1,Match Report
20/10/2022,20:15,Matchweek 12,Thu,Home,W,2,0,Leeds United,1,5,1,20,0.2,1,17.7,0,0,0,0.8,0.8,0.16,0.2,0.2,Match Report
23/10/2022,14:00,Matchweek 13,Sun,Away,W,4,0,Wolves,4,5,4,80,0.8,1,14.7,0,0,0,0.9,0.9,0.18,3.1,3.1,Match Report
