Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2021,17:30,Matchweek 1,Sat,Home,L,0,3,Liverpool,0,14,3,21.4,0,0,17.1,0,0,0,1.4,1.4,0.16,-1.4,-1.4,Match Report
21/08/2021,15:00,Matchweek 2,Sat,Away,L,0,5,Manchester City,0,1,0,0,0,,16.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Match Report
28/08/2021,15:00,Matchweek 3,Sat,Home,L,1,2,Leicester City,1,13,3,23.1,0,0,22.6,1,1,1,1.5,0.7,0.06,-0.5,-0.7,Match Report
11/09/2021,15:00,Matchweek 4,Sat,Away,L,0,1,Arsenal,0,10,1,10,0,0,19.9,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
18/09/2021,15:00,Matchweek 5,Sat,Home,L,1,3,Watford,1,12,5,41.7,0.08,0.2,20.7,1,0,0,1,1,0.08,0,0,Match Report
25/09/2021,15:00,Matchweek 6,Sat,Away,L,0,2,Everton,0,10,2,20,0,0,22.3,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
02/10/2021,15:00,Matchweek 7,Sat,Away,D,0,0,Burnley,0,10,2,20,0,0,20.7,2,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
16/10/2021,15:00,Matchweek 8,Sat,Home,D,0,0,Brighton,0,15,2,13.3,0,0,21.7,1,0,0,1.2,1.2,0.08,-1.2,-1.2,Match Report
23/10/2021,12:30,Matchweek 9,Sat,Away,L,0,7,Chelsea,0,3,1,33.3,0,0,20.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report
31/10/2021,14:00,Matchweek 10,Sun,Home,L,1,2,Leeds United,1,14,3,21.4,0.07,0.33,21.8,3,0,0,0.8,0.8,0.06,0.2,0.2,Match Report
06/11/2021,15:00,Matchweek 11,Sat,Away,W,2,1,Brentford,2,8,4,50,0.13,0.25,25.6,1,1,1,1.2,0.4,0.05,0.8,0.6,Match Report
20/11/2021,15:00,Matchweek 12,Sat,Home,W,2,1,Southampton,2,8,4,50,0.25,0.5,16.3,0,0,0,0.5,0.5,0.07,1.5,1.5,Match Report
27/11/2021,15:00,Matchweek 13,Sat,Home,D,0,0,Wolves,0,14,4,28.6,0,0,18.2,1,0,0,1.6,1.6,0.12,-1.6,-1.6,Match Report
30/11/2021,19:30,Matchweek 14,Tue,Away,D,1,1,Newcastle Utd,1,16,6,37.5,0.06,0.17,16.9,1,0,0,1.2,1.2,0.08,-0.2,-0.2,Match Report
05/12/2021,14:00,Matchweek 15,Sun,Away,L,0,3,Tottenham,0,10,1,10,0,0,16.2,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Match Report
11/12/2021,17:30,Matchweek 16,Sat,Home,L,0,1,Manchester Utd,0,11,5,45.5,0,0,14.2,0,0,0,1.2,1.2,0.11,-1.2,-1.2,Match Report
