Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
13/08/2023,14:00,Matchweek 1,Sun,Away,D,2,2,Brentford,2,18,6,33.3,0.11,0.33,19.6,0,0,0,1.3,1.3,0.07,0.7,0.7,Match Report
19/08/2023,17:30,Matchweek 2,Sat,Home,W,2,0,Manchester Utd,1,17,6,35.3,0.06,0.17,13.8,0,0,0,1.7,1.7,0.1,-0.7,-0.7,Match Report
26/08/2023,12:30,Matchweek 3,Sat,Away,W,2,0,Bournemouth,2,17,6,35.3,0.12,0.33,16.6,1,0,0,2.1,2.1,0.12,-0.1,-0.1,Match Report
02/09/2023,15:00,Matchweek 4,Sat,Away,W,5,2,Burnley,5,21,11,52.4,0.24,0.45,19.3,0,0,0,2.2,2.2,0.11,2.8,2.8,Match Report
16/09/2023,15:00,Matchweek 5,Sat,Home,W,2,1,Sheffield Utd,2,28,10,35.7,0.07,0.2,16.4,0,0,0,2.1,2.1,0.08,-0.1,-0.1,Match Report
24/09/2023,14:00,Matchweek 6,Sun,Away,D,2,2,Arsenal,2,13,5,38.5,0.15,0.4,16,0,0,0,1.4,1.4,0.11,0.6,0.6,Match Report
30/09/2023,17:30,Matchweek 7,Sat,Home,W,2,1,Liverpool,1,24,8,33.3,0.04,0.13,19.8,0,0,0,2.2,2.2,0.09,-1.2,-1.2,Match Report
07/10/2023,12:30,Matchweek 8,Sat,Away,W,1,0,Luton Town,1,15,4,26.7,0.07,0.25,16.9,1,0,0,1.9,1.9,0.13,-0.9,-0.9,Match Report
23/10/2023,20:00,Matchweek 9,Mon,Home,W,2,0,Fulham,2,15,5,33.3,0.13,0.4,17.2,0,0,0,1.5,1.5,0.1,0.5,0.5,Match Report
27/10/2023,20:00,Matchweek 10,Fri,Away,W,2,1,Crystal Palace,1,10,1,10,0.1,1,19.5,1,0,0,1.1,1.1,0.11,-0.1,-0.1,Match Report
06/11/2023,20:00,Matchweek 11,Mon,Home,L,1,4,Chelsea,1,8,5,62.5,0.13,0.2,23.5,1,0,0,0.9,0.9,0.11,0.1,0.1,Match Report
11/11/2023,12:30,Matchweek 12,Sat,Away,L,1,2,Wolves,1,6,2,33.3,0.17,0.5,17.5,0,0,0,0.7,0.7,0.12,0.3,0.3,Match Report
26/11/2023,14:00,Matchweek 13,Sun,Home,L,1,2,Aston Villa,1,18,7,38.9,0.06,0.14,14,0,0,0,2.3,2.3,0.14,-1.3,-1.3,Match Report
03/12/2023,16:30,Matchweek 14,Sun,Away,D,3,3,Manchester City,3,8,4,50,0.38,0.75,20.7,0,0,0,0.5,0.5,0.06,2.5,2.5,Match Report
07/12/2023,20:15,Matchweek 15,Thu,Home,L,1,2,West Ham,1,23,6,26.1,0.04,0.17,17.1,1,0,0,1.8,1.8,0.08,-0.8,-0.8,Match Report
10/12/2023,16:30,Matchweek 16,Sun,Home,W,4,1,Newcastle Utd,4,22,10,45.5,0.14,0.3,15.5,0,1,1,3.8,3,0.14,0.2,0,Match Report
15/12/2023,20:00,Matchweek 17,Fri,Away,W,2,0,Nott'ham Forest,2,12,6,50,0.17,0.33,12.5,0,0,0,1.5,1.5,0.13,0.5,0.5,Match Report
23/12/2023,15:00,Matchweek 18,Sat,Home,W,2,1,Everton,2,13,6,46.2,0.15,0.33,15.1,0,0,0,1.5,1.5,0.11,0.5,0.5,Match Report
28/12/2023,19:30,Matchweek 19,Thu,Away,L,2,4,Brighton,2,19,3,15.8,0.11,0.67,15.2,1,0,0,2.3,2.3,0.12,-0.3,-0.3,Match Report
31/12/2023,14:00,Matchweek 20,Sun,Home,W,3,1,Bournemouth,3,12,6,50,0.25,0.5,14.7,0,0,0,2.3,2.3,0.19,0.7,0.7,Match Report
14/01/2024,16:30,Matchweek 21,Sun,Away,D,2,2,Manchester Utd,2,16,5,31.3,0.13,0.4,14.4,0,0,0,1.2,1.2,0.08,0.8,0.8,Match Report
31/01/2024,19:30,Matchweek 22,Wed,Home,W,3,2,Brentford,3,19,5,26.3,0.16,0.6,14.3,0,0,0,2.9,2.9,0.16,0.1,0.1,Match Report
03/02/2024,12:30,Matchweek 23,Sat,Away,D,2,2,Everton,2,9,6,66.7,0.22,0.33,17.8,0,0,0,1,1,0.11,1,1,Match Report
10/02/2024,15:00,Matchweek 24,Sat,Home,W,2,1,Brighton,2,16,6,37.5,0.13,0.33,17.1,1,0,0,1.6,1.6,0.1,0.4,0.4,Match Report
17/02/2024,15:00,Matchweek 25,Sat,Home,L,1,2,Wolves,1,15,4,26.7,0.07,0.25,14.3,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Match Report
02/03/2024,15:00,Matchweek 27,Sat,Home,W,3,1,Crystal Palace,3,14,6,42.9,0.21,0.5,13.5,0,0,0,1.9,1.9,0.14,1.1,1.1,Match Report
10/03/2024,13:00,Matchweek 28,Sun,Away,W,4,0,Aston Villa,4,9,5,55.6,0.44,0.8,14.9,0,0,0,1.5,1.5,0.17,2.5,2.5,Match Report
16/03/2024,17:30,Matchweek 29,Sat,Away,L,0,3,Fulham,0,14,5,35.7,0,0,14,0,0,0,2.4,2.4,0.17,-2.4,-2.4,Match Report
30/03/2024,15:00,Matchweek 30,Sat,Home,W,2,1,Luton Town,1,17,2,11.8,0.06,0.5,14.5,1,0,0,2.9,2.9,0.18,-1.9,-1.9,Match Report
02/04/2024,20:15,Matchweek 31,Tue,Away,D,1,1,West Ham,1,13,4,30.8,0.08,0.25,17.4,0,0,0,1,1,0.07,0,0,Match Report
07/04/2024,18:00,Matchweek 32,Sun,Home,W,3,1,Nott'ham Forest,2,17,7,41.2,0.12,0.29,20.2,1,0,0,1.5,1.5,0.09,0.5,0.5,Match Report
13/04/2024,12:30,Matchweek 33,Sat,Away,L,0,4,Newcastle Utd,0,11,2,18.2,0,0,19,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
28/04/2024,14:00,Matchweek 35,Sun,Home,L,2,3,Arsenal,2,14,1,7.1,0.07,1,16.8,0,1,1,2.3,1.6,0.12,-0.3,-0.6,Match Report
02/05/2024,19:30,Matchweek 26,Thu,Away,L,0,2,Chelsea,0,19,3,15.8,0,0,16.9,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Match Report
05/05/2024,16:30,Matchweek 36,Sun,Away,L,2,4,Liverpool,2,11,6,54.5,0.18,0.33,21.6,1,0,0,1.2,1.2,0.11,0.8,0.8,Match Report
11/05/2024,15:00,Matchweek 37,Sat,Home,W,2,1,Burnley,2,21,9,42.9,0.1,0.22,16,0,0,0,2.7,2.7,0.13,-0.7,-0.7,Match Report
14/05/2024,20:00,Matchweek 34,Tue,Home,L,0,2,Manchester City,0,10,5,50,0,0,15,0,0,0,1.7,1.7,0.17,-1.7,-1.7,Match Report
19/05/2024,16:00,Matchweek 38,Sun,Away,W,3,0,Sheffield Utd,3,18,9,50,0.17,0.33,14.4,1,0,0,3.1,3.1,0.18,-0.1,-0.1,Match Report
