Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2021,15:00,Matchweek 1,Sat,Home,W,3,2,Aston Villa,3,13,7,53.8,0.23,0.43,17.9,0,0,0,1.2,1.2,0.09,1.8,1.8,Match Report
21/08/2021,17:30,Matchweek 2,Sat,Away,L,0,2,Brighton,0,10,1,10,0,0,19.3,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
29/08/2021,14:00,Matchweek 3,Sun,Away,L,0,1,Tottenham,0,9,2,22.2,0,0,16.3,1,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report
11/09/2021,15:00,Matchweek 4,Sat,Home,L,0,2,Wolves,0,6,2,33.3,0,0,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report
18/09/2021,15:00,Matchweek 5,Sat,Away,W,3,1,Norwich City,3,12,8,66.7,0.25,0.38,13.5,0,0,0,2.4,2.4,0.22,0.6,0.6,Match Report
25/09/2021,15:00,Matchweek 6,Sat,Home,D,1,1,Newcastle Utd,1,15,4,26.7,0.07,0.25,21.2,1,0,0,0.9,0.9,0.06,0.1,0.1,Match Report
02/10/2021,15:00,Matchweek 7,Sat,Away,L,0,1,Leeds United,0,5,1,20,0,0,19.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report
16/10/2021,12:30,Matchweek 8,Sat,Home,L,0,5,Liverpool,0,6,2,33.3,0,0,18.2,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report
23/10/2021,15:00,Matchweek 9,Sat,Away,W,5,2,Everton,5,20,8,40,0.25,0.63,19.2,0,0,0,3.7,3.7,0.19,1.3,1.3,Match Report
30/10/2021,15:00,Matchweek 10,Sat,Home,L,0,1,Southampton,0,10,3,30,0,0,20.2,1,0,0,1,1,0.1,-1,-1,Match Report
07/11/2021,14:00,Matchweek 11,Sun,Away,L,0,1,Arsenal,0,7,1,14.3,0,0,19.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
20/11/2021,15:00,Matchweek 12,Sat,Home,W,4,1,Manchester Utd,4,19,6,31.6,0.21,0.67,15.9,2,0,1,2.7,1.9,0.1,1.3,2.1,Match Report
28/11/2021,14:00,Matchweek 13,Sun,Away,L,2,4,Leicester City,2,16,4,25,0.06,0.25,16.4,1,1,1,2.8,2,0.13,-0.8,-1,Match Report
01/12/2021,19:30,Matchweek 14,Wed,Home,L,1,2,Chelsea,1,14,6,42.9,0.07,0.17,21.4,2,0,0,1,1,0.07,0,0,Match Report
04/12/2021,17:30,Matchweek 15,Sat,Home,L,1,3,Manchester City,1,11,4,36.4,0.09,0.25,19.6,1,0,0,0.8,0.8,0.07,0.2,0.2,Match Report
10/12/2021,20:00,Matchweek 16,Fri,Away,L,1,2,Brentford,1,6,2,33.3,0.17,0.5,14.9,1,0,0,0.5,0.5,0.08,0.5,0.5,Match Report
28/12/2021,15:00,Matchweek 20,Tue,Home,L,1,4,West Ham,1,14,5,35.7,0.07,0.2,15.2,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
01/01/2022,15:00,Matchweek 21,Sat,Home,L,0,1,Tottenham,0,6,4,66.7,0,0,19,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
15/01/2022,15:00,Matchweek 22,Sat,Away,D,1,1,Newcastle Utd,1,18,5,27.8,0.06,0.2,19.3,2,0,0,1.4,1.4,0.08,-0.4,-0.4,Match Report
21/01/2022,20:00,Matchweek 23,Fri,Home,L,0,3,Norwich City,0,15,3,20,0,0,19.1,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Match Report
05/02/2022,18:00,Matchweek 17,Sat,Away,D,0,0,Burnley,0,11,5,45.5,0,0,16.3,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
08/02/2022,19:45,Matchweek 24,Tue,Away,L,0,1,West Ham,0,6,1,16.7,0,0,22.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Match Report
12/02/2022,15:00,Matchweek 25,Sat,Home,L,0,2,Brighton,0,9,1,11.1,0,0,17.4,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
