Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
07/08/2022,16:30,Matchweek 1,Sun,Home,L,0,2,Manchester City,0,6,1,16.7,0,0,16.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report
14/08/2022,14:00,Matchweek 2,Sun,Away,L,0,1,Nott'ham Forest,0,18,3,16.7,0,0,19.3,2,0,1,2.1,1.5,0.08,-2.1,-1.5,Match Report
21/08/2022,14:00,Matchweek 3,Sun,Home,L,0,2,Brighton,0,13,3,23.1,0,0,16.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
28/08/2022,14:00,Matchweek 4,Sun,Away,W,1,0,Aston Villa,1,7,2,28.6,0.14,0.5,24.8,1,0,0,0.6,0.6,0.08,0.4,0.4,Match Report
31/08/2022,19:45,Matchweek 5,Wed,Home,D,1,1,Tottenham,1,14,4,28.6,0.07,0.25,16.3,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
03/09/2022,15:00,Matchweek 6,Sat,Away,L,1,2,Chelsea,1,6,3,50,0.17,0.33,15.9,0,0,0,1.1,1.1,0.21,-0.1,-0.1,Match Report
18/09/2022,14:15,Matchweek 8,Sun,Away,L,0,1,Everton,0,14,4,28.6,0,0,15.2,0,0,0,1,1,0.07,-1,-1,Match Report
01/10/2022,17:30,Matchweek 9,Sat,Home,W,2,0,Wolves,2,18,5,27.8,0.11,0.4,20.3,1,0,0,0.9,0.9,0.05,1.1,1.1,Match Report
09/10/2022,14:00,Matchweek 10,Sun,Home,W,3,1,Fulham,3,16,7,43.8,0.13,0.29,16.4,0,1,1,2.4,2.2,0.14,0.6,-0.2,Match Report
16/10/2022,14:00,Matchweek 11,Sun,Away,D,1,1,Southampton,1,25,4,16,0.04,0.25,18.8,0,0,0,1.7,1.7,0.07,-0.7,-0.7,Match Report
19/10/2022,19:30,Matchweek 12,Wed,Away,L,0,1,Liverpool,0,7,2,28.6,0,0,15.2,0,0,1,1.7,1,0.15,-1.7,-1,Match Report
24/10/2022,20:00,Matchweek 13,Mon,Home,W,2,0,Bournemouth,2,19,3,15.8,0.05,0.33,21.1,1,1,1,1.9,1.1,0.06,0.1,-0.1,Match Report
30/10/2022,16:15,Matchweek 14,Sun,Away,L,0,1,Manchester Utd,0,13,4,30.8,0,0,22.3,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report
06/11/2022,14:00,Matchweek 15,Sun,Home,L,1,2,Crystal Palace,1,5,2,40,0.2,0.5,16.7,0,0,0,0.3,0.3,0.05,0.7,0.7,Match Report
12/11/2022,15:00,Matchweek 16,Sat,Home,L,0,2,Leicester City,0,18,6,33.3,0,0,16.4,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Match Report
26/12/2022,20:00,Matchweek 17,Mon,Away,L,1,3,Arsenal,1,7,3,42.9,0,0,24.2,0,1,1,1,0.2,0.04,0,-0.2,Match Report
30/12/2022,19:45,Matchweek 18,Fri,Home,L,0,2,Brentford,0,20,5,25,0,0,18.2,2,0,0,1.3,1.3,0.06,-1.3,-1.3,Match Report
04/01/2023,19:45,Matchweek 19,Wed,Away,D,2,2,Leeds United,2,14,1,7.1,0.07,1,22.5,0,1,1,1.4,0.6,0.05,0.6,0.4,Match Report
14/01/2023,15:00,Matchweek 20,Sat,Away,L,0,1,Wolves,0,16,3,18.8,0,0,18.4,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Match Report
21/01/2023,15:00,Matchweek 21,Sat,Home,W,2,0,Everton,2,11,4,36.4,0.18,0.5,11.9,0,0,0,2.2,2.2,0.21,-0.2,-0.2,Match Report
04/02/2023,17:30,Matchweek 22,Sat,Away,D,1,1,Newcastle Utd,1,10,1,10,0.1,1,16.2,0,0,0,1,1,0.1,0,0,Match Report
11/02/2023,12:30,Matchweek 23,Sat,Home,D,1,1,Chelsea,1,10,2,20,0.1,0.5,13.8,1,0,0,1.3,1.3,0.14,-0.3,-0.3,Match Report
19/02/2023,16:30,Matchweek 24,Sun,Away,L,0,2,Tottenham,0,6,1,16.7,0,0,16,1,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report
25/02/2023,15:00,Matchweek 25,Sat,Home,W,4,0,Nott'ham Forest,4,18,5,27.8,0.22,0.8,14.9,0,0,0,2.7,2.7,0.15,1.3,1.3,Match Report
04/03/2023,15:00,Matchweek 26,Sat,Away,L,0,4,Brighton,0,3,2,66.7,0,0,12.1,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Match Report
12/03/2023,14:00,Matchweek 27,Sun,Home,D,1,1,Aston Villa,1,16,4,25,0,0,16.7,0,1,1,2.1,1.4,0.09,-1.1,-1.4,Match Report
02/04/2023,14:00,Matchweek 29,Sun,Home,W,1,0,Southampton,1,12,2,16.7,0.08,0.5,14.2,1,0,0,1.4,1.4,0.12,-0.4,-0.4,Match Report
05/04/2023,20:00,Matchweek 7,Wed,Home,L,1,5,Newcastle Utd,1,7,2,28.6,0.14,0.5,19,1,0,0,1,1,0.14,0,0,Match Report
