Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
33,Sat,19/04/2025,15:00,Everton,Manchester City,,Goodison Park,,Head-to-Head,
33,Sat,19/04/2025,15:00,West Ham,Southampton,,London Stadium,,Head-to-Head,
33,Sat,19/04/2025,15:00,Crystal Palace,Bournemouth,,Selhurst Park,,Head-to-Head,
33,Sat,19/04/2025,15:00,Brentford,Brighton,,Gtech Community Stadium,,Head-to-Head,
33,Sat,19/04/2025,17:30,Aston Villa,Newcastle Utd,,Villa Park,,Head-to-Head,
33,Sun,20/04/2025,14:00,Fulham,Chelsea,,Craven Cottage,,Head-to-Head,
33,Sun,20/04/2025,14:00,Ipswich Town,Arsenal,,Portman Road Stadium,,Head-to-Head,
33,Sun,20/04/2025,14:00,Manchester Utd,Wolves,,Old Trafford,,Head-to-Head,
33,Sun,20/04/2025,16:30,Leicester City,Liverpool,,King Power Stadium,,Head-to-Head,
33,Mon,21/04/2025,20:00,Tottenham,Nott'ham Forest,,Tottenham Hotspur Stadium,,Head-to-Head,
