Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
23,Sat,25/01/2025,15:00,Wolves,0.7,0–1,1,Arsenal,"31,503",Molineux Stadium,Michael Oliver,Match Report,
23,Sat,25/01/2025,15:00,Southampton,0.8,1–3,2.9,Newcastle Utd,"31,141",St Mary's Stadium,Samuel Barrott,Match Report,
23,Sat,25/01/2025,15:00,Brighton,0.7,0–1,0.8,Everton,"31,087",The American Express Stadium,Tim Robinson,Match Report,
23,Sat,25/01/2025,15:00,Liverpool,2,4–1,0.5,Ipswich Town,"60,420",Anfield,Michael Salisbury,Match Report,
23,Sat,25/01/2025,15:00,Bournemouth,1.7,5–0,1,Nott'ham Forest,"11,228",Vitality Stadium,Craig Pawson,Match Report,
23,Sat,25/01/2025,17:30,Manchester City,2.2,3–1,1.8,Chelsea,"52,687",Etihad Stadium,John Brooks,Match Report,
23,Sun,26/01/2025,14:00,Crystal Palace,1.1,1–2,1.3,Brentford,"25,066",Selhurst Park,Tony Harrington,Match Report,
23,Sun,26/01/2025,14:00,Tottenham,1,1–2,1.6,Leicester City,"61,295",Tottenham Hotspur Stadium,Robert Jones,Match Report,
23,Sun,26/01/2025,16:30,Aston Villa,0.9,1–1,1.3,West Ham,"41,628",Villa Park,Peter Bankes,Match Report,
23,Sun,26/01/2025,19:00,Fulham,0.7,0–1,0.3,Manchester Utd,"27,288",Craven Cottage,Anthony Taylor,Match Report,
