Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
13/08/2021,20:00,Matchweek 1,Fri,Away,L,0,2,Brentford,0,22,4,18.2,0,0,19,1,0,0,1.3,1.3,0.06,-1.3,-1.3,Match Report
22/08/2021,16:30,Matchweek 2,Sun,Home,L,0,2,Chelsea,0,6,3,50,0,0,18.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Match Report
28/08/2021,12:30,Matchweek 3,Sat,Away,L,0,5,Manchester City,0,1,0,0,0,,6.8,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Match Report
11/09/2021,15:00,Matchweek 4,Sat,Home,W,1,0,Norwich City,1,30,6,20,0.03,0.17,16.9,1,0,0,2.7,2.7,0.1,-1.7,-1.7,Match Report
18/09/2021,15:00,Matchweek 5,Sat,Away,W,1,0,Burnley,1,13,3,23.1,0.08,0.33,20.7,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
26/09/2021,16:30,Matchweek 6,Sun,Home,W,3,1,Tottenham,3,12,7,58.3,0.25,0.43,17.7,0,0,0,1.1,1.1,0.09,1.9,1.9,Match Report
02/10/2021,17:30,Matchweek 7,Sat,Away,D,0,0,Brighton,0,8,2,25,0,0,21.1,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report
18/10/2021,20:00,Matchweek 8,Mon,Home,D,2,2,Crystal Palace,2,17,6,35.3,0.12,0.33,17.6,1,0,0,1.7,1.7,0.11,0.3,0.3,Match Report
22/10/2021,20:00,Matchweek 9,Fri,Home,W,3,1,Aston Villa,3,21,8,38.1,0.14,0.38,17.3,1,0,1,2.7,1.8,0.09,0.3,1.2,Match Report
30/10/2021,12:30,Matchweek 10,Sat,Away,W,2,0,Leicester City,2,9,5,55.6,0.22,0.4,16.7,0,0,0,0.7,0.7,0.08,1.3,1.3,Match Report
