Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2021,15:00,Matchweek 1,Sat,Away,L,2,3,Watford,2,10,1,10,0.1,1,22.8,1,1,1,1.2,0.4,0.04,0.8,0.6,Match Report
21/08/2021,15:00,Matchweek 2,Sat,Home,W,2,0,Newcastle Utd,2,9,1,11.1,0.11,1,19.5,0,1,1,1.2,0.6,0.06,0.8,0.4,Match Report
28/08/2021,15:00,Matchweek 3,Sat,Home,D,1,1,Brentford,1,7,5,71.4,0.14,0.2,13.8,0,0,0,0.7,0.7,0.1,0.3,0.3,Match Report
11/09/2021,17:30,Matchweek 4,Sat,Away,L,0,3,Chelsea,0,18,6,33.3,0,0,18.6,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Match Report
18/09/2021,17:30,Matchweek 5,Sat,Home,W,3,0,Everton,2,15,3,20,0.13,0.67,19.3,1,0,0,0.8,0.8,0.06,1.2,1.2,Match Report
25/09/2021,12:30,Matchweek 6,Sat,Away,W,1,0,Manchester Utd,1,7,3,42.9,0.14,0.33,14.1,1,0,0,1,1,0.15,0,0,Match Report
03/10/2021,14:00,Matchweek 7,Sun,Away,L,1,2,Tottenham,1,14,3,21.4,0.07,0.33,18,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
16/10/2021,15:00,Matchweek 8,Sat,Home,L,2,3,Wolves,2,14,5,35.7,0.14,0.4,18,0,0,0,1,1,0.07,1,1,Match Report
22/10/2021,20:00,Matchweek 9,Fri,Away,L,1,3,Arsenal,1,10,4,40,0.1,0.25,17.2,1,0,0,1.4,1.4,0.14,-0.4,-0.4,Match Report
31/10/2021,16:30,Matchweek 10,Sun,Home,L,1,4,West Ham,1,9,3,33.3,0.11,0.33,16.4,0,0,0,0.7,0.7,0.08,0.3,0.3,Match Report
05/11/2021,20:00,Matchweek 11,Fri,Away,L,0,1,Southampton,0,14,3,21.4,0,0,19.5,1,0,0,0.6,0.6,0.04,-0.6,-0.6,Match Report
20/11/2021,15:00,Matchweek 12,Sat,Home,W,2,0,Brighton,2,9,5,55.6,0.22,0.4,16.5,0,0,0,0.7,0.7,0.08,1.3,1.3,Match Report
27/11/2021,15:00,Matchweek 13,Sat,Away,W,2,1,Crystal Palace,2,10,3,30,0.2,0.67,20.5,2,0,0,0.5,0.5,0.05,1.5,1.5,Match Report
01/12/2021,20:15,Matchweek 14,Wed,Home,L,1,2,Manchester City,1,9,3,33.3,0.11,0.33,13.1,0,0,0,0.8,0.8,0.09,0.2,0.2,Match Report
05/12/2021,16:30,Matchweek 15,Sun,Home,W,2,1,Leicester City,2,13,4,30.8,0.15,0.5,13.9,0,0,0,2.1,2.1,0.17,-0.1,-0.1,Match Report
11/12/2021,15:00,Matchweek 16,Sat,Away,L,0,1,Liverpool,0,4,0,0,0,,23.6,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report
14/12/2021,19:45,Matchweek 17,Tue,Away,W,2,0,Norwich City,2,17,6,35.3,0.12,0.33,16.7,0,0,0,2,2,0.12,0,0,Match Report
26/12/2021,17:30,Matchweek 19,Sun,Home,L,1,3,Chelsea,0,8,1,12.5,0,0,18.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
02/01/2022,14:00,Matchweek 21,Sun,Away,L,1,2,Brentford,1,16,5,31.3,0.06,0.2,17.1,0,0,0,0.8,0.8,0.05,0.2,0.2,Match Report
15/01/2022,17:30,Matchweek 22,Sat,Home,D,2,2,Manchester Utd,2,13,9,69.2,0.15,0.22,12.7,0,0,0,1.9,1.9,0.15,0.1,0.1,Match Report
22/01/2022,12:30,Matchweek 23,Sat,Away,W,1,0,Everton,1,8,3,37.5,0.13,0.33,19.8,2,0,0,0.8,0.8,0.1,0.2,0.2,Match Report
09/02/2022,20:00,Matchweek 24,Wed,Home,D,3,3,Leeds United,3,12,4,33.3,0.25,0.75,15.7,0,0,0,1.6,1.6,0.14,1.4,1.4,Match Report
13/02/2022,14:00,Matchweek 25,Sun,Away,L,0,1,Newcastle Utd,0,11,1,9.1,0,0,19.9,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
19/02/2022,15:00,Matchweek 26,Sat,Home,L,0,1,Watford,0,20,1,5,0,0,21,1,0,0,1.3,1.3,0.07,-1.3,-1.3,Match Report
26/02/2022,15:00,Matchweek 27,Sat,Away,W,2,0,Brighton,2,9,4,44.4,0.22,0.5,17.5,1,0,0,1,1,0.11,1,1,Match Report
05/03/2022,15:00,Matchweek 28,Sat,Home,W,4,0,Southampton,4,14,9,64.3,0.29,0.44,15.7,0,0,0,2.5,2.5,0.2,1.5,1.5,Match Report
10/03/2022,19:45,Matchweek 20,Thu,Away,W,3,0,Leeds United,3,15,9,60,0.2,0.33,19.6,1,0,0,1.5,1.5,0.1,1.5,1.5,Match Report
13/03/2022,14:00,Matchweek 29,Sun,Away,L,1,2,West Ham,1,13,7,53.8,0.08,0.14,14.9,1,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report
19/03/2022,12:30,Matchweek 30,Sat,Home,L,0,1,Arsenal,0,8,1,12.5,0,0,16.8,2,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
02/04/2022,15:00,Matchweek 31,Sat,Away,L,1,2,Wolves,1,14,4,28.6,0,0,20,1,1,1,2.1,1.5,0.11,-1.1,-1.5,Match Report
09/04/2022,17:30,Matchweek 32,Sat,Home,L,0,4,Tottenham,0,19,8,42.1,0,0,16.3,1,0,0,1.6,1.6,0.09,-1.6,-1.6,Match Report
23/04/2022,15:00,Matchweek 34,Sat,Away,D,0,0,Leicester City,0,11,3,27.3,0,0,17.9,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
30/04/2022,15:00,Matchweek 35,Sat,Home,W,2,0,Norwich City,2,21,6,28.6,0.1,0.33,15.7,0,0,0,1.8,1.8,0.09,0.2,0.2,Match Report
07/05/2022,15:00,Matchweek 36,Sat,Away,W,3,1,Burnley,3,12,7,58.3,0.25,0.43,18.3,1,0,0,2.1,2.1,0.17,0.9,0.9,Match Report
10/05/2022,20:00,Matchweek 33,Tue,Home,L,1,2,Liverpool,1,9,4,44.4,0.11,0.25,13.7,0,0,0,1.4,1.4,0.18,-0.4,-0.4,Match Report
15/05/2022,14:00,Matchweek 37,Sun,Home,D,1,1,Crystal Palace,1,13,4,30.8,0.08,0.25,18.7,0,0,0,1,1,0.08,0,0,Match Report
19/05/2022,20:00,Matchweek 18,Thu,Home,D,1,1,Burnley,1,22,9,40.9,0.05,0.11,19.4,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Match Report
22/05/2022,16:00,Matchweek 38,Sun,Away,L,2,3,Manchester City,2,4,2,50,0.5,1,16.8,0,0,0,0.2,0.2,0.06,1.8,1.8,Match Report
