Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
13/08/2023,14:00,Matchweek 1,Sun,Home,D,2,2,Tottenham,2,10,5,50,0.1,0.2,18,0,1,1,2.2,1.4,0.14,-0.2,-0.4,Match Report
19/08/2023,15:00,Matchweek 2,Sat,Away,W,3,0,Fulham,3,16,7,43.8,0.13,0.29,13.8,1,1,1,3.7,3.1,0.2,-0.7,-1.1,Match Report
26/08/2023,15:00,Matchweek 3,Sat,Home,D,1,1,Crystal Palace,1,12,1,8.3,0.08,1,13.7,0,0,0,1,1,0.08,0,0,Match Report
02/09/2023,15:00,Matchweek 4,Sat,Home,D,2,2,Bournemouth,2,21,7,33.3,0.1,0.29,14.7,1,0,0,2.9,2.9,0.14,-0.9,-0.9,Match Report
16/09/2023,17:30,Matchweek 5,Sat,Away,L,0,1,Newcastle Utd,0,11,2,18.2,0,0,15.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
23/09/2023,17:30,Matchweek 6,Sat,Home,L,1,3,Everton,1,12,2,16.7,0.08,0.5,13.9,1,0,0,1,1,0.09,0,0,Match Report
01/10/2023,14:00,Matchweek 7,Sun,Away,D,1,1,Nott'ham Forest,1,18,3,16.7,0.06,0.33,14.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Match Report
07/10/2023,15:00,Matchweek 8,Sat,Away,L,1,2,Manchester Utd,1,11,3,27.3,0.09,0.33,17.3,0,0,0,0.9,0.9,0.09,0.1,0.1,Match Report
21/10/2023,15:00,Matchweek 9,Sat,Home,W,3,0,Burnley,3,23,9,39.1,0.13,0.33,15.2,1,0,0,3.1,3.1,0.14,-0.1,-0.1,Match Report
28/10/2023,12:30,Matchweek 10,Sat,Away,W,2,0,Chelsea,2,7,5,71.4,0.29,0.4,12.9,0,0,0,2.2,2.2,0.28,-0.2,-0.2,
04/11/2023,15:00,Matchweek 11,Sat,Home,W,3,2,West Ham,2,16,4,25,0.13,0.5,15.7,1,0,0,1.5,1.5,0.1,0.5,0.5,Match Report
12/11/2023,14:00,Matchweek 12,Sun,Away,L,0,3,Liverpool,0,16,3,18.8,0,0,16.8,2,0,0,1.6,1.6,0.11,-1.6,-1.6,Match Report
25/11/2023,17:30,Matchweek 13,Sat,Home,L,0,1,Arsenal,0,9,1,11.1,0,0,11.9,0,0,0,1.1,1.1,0.16,-1.1,-1.1,Match Report
02/12/2023,15:00,Matchweek 14,Sat,Home,W,3,1,Luton Town,3,27,6,22.2,0.11,0.5,15.3,0,0,0,3.1,3.1,0.13,-0.1,-0.1,Match Report
06/12/2023,19:30,Matchweek 15,Wed,Away,L,1,2,Brighton,1,7,0,0,0,,17.6,0,1,1,1.5,0.7,0.1,-0.5,-0.7,Match Report
09/12/2023,15:00,Matchweek 16,Sat,Away,L,0,1,Sheffield Utd,0,10,4,40,0,0,16.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
17/12/2023,14:00,Matchweek 17,Sun,Home,L,1,2,Aston Villa,1,4,3,75,0.25,0.33,13.3,0,0,0,0.5,0.5,0.13,0.5,0.5,Match Report
27/12/2023,19:30,Matchweek 19,Wed,Home,L,1,4,Wolves,1,14,4,28.6,0.07,0.25,13.8,0,0,0,2.2,2.2,0.16,-1.2,-1.2,Match Report
30/12/2023,15:00,Matchweek 20,Sat,Away,L,1,3,Crystal Palace,1,9,4,44.4,0.11,0.25,16,0,0,0,1.4,1.4,0.15,-0.4,-0.4,Match Report
20/01/2024,17:30,Matchweek 21,Sat,Home,W,3,2,Nott'ham Forest,3,11,5,45.5,0.27,0.6,14.8,1,0,0,1.2,1.2,0.11,1.8,1.8,Match Report
31/01/2024,19:30,Matchweek 22,Wed,Away,L,2,3,Tottenham,2,9,5,55.6,0.22,0.4,12.9,0,0,0,1.6,1.6,0.18,0.4,0.4,Match Report
05/02/2024,20:00,Matchweek 23,Mon,Home,L,1,3,Manchester City,1,9,2,22.2,0.11,0.5,15.3,0,0,0,1,1,0.12,0,0,Match Report
10/02/2024,15:00,Matchweek 24,Sat,Away,W,2,0,Wolves,2,9,6,66.7,0.22,0.33,14,0,0,0,1.9,1.9,0.22,0.1,0.1,Match Report
17/02/2024,12:30,Matchweek 25,Sat,Home,L,1,4,Liverpool,1,15,6,40,0.07,0.17,19.8,3,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
20/02/2024,19:30,Matchweek 18,Tue,Away,L,0,1,Manchester City,0,6,2,33.3,0,0,19.4,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
26/02/2024,20:00,Matchweek 26,Mon,Away,L,2,4,West Ham,2,14,7,50,0.14,0.29,16.7,0,0,0,0.9,0.9,0.07,1.1,1.1,Match Report
02/03/2024,15:00,Matchweek 27,Sat,Home,D,2,2,Chelsea,2,14,5,35.7,0.14,0.4,14.5,0,0,0,1.8,1.8,0.13,0.2,0.2,Match Report
09/03/2024,17:30,Matchweek 28,Sat,Away,L,1,2,Arsenal,1,9,4,44.4,0.11,0.25,17.1,0,0,0,1,1,0.11,0,0,Match Report
16/03/2024,15:00,Matchweek 29,Sat,Away,L,1,2,Burnley,1,9,5,55.6,0.11,0.2,14.7,0,0,0,1.1,1.1,0.13,-0.1,-0.1,Match Report
30/03/2024,20:00,Matchweek 30,Sat,Home,D,1,1,Manchester Utd,1,31,5,16.1,0.03,0.2,15,1,0,0,3.2,3.2,0.11,-2.2,-2.2,Match Report
03/04/2024,19:30,Matchweek 31,Wed,Home,D,0,0,Brighton,0,5,2,40,0,0,17.1,1,0,0,0.6,0.6,0.11,-0.6,-0.6,Match Report
06/04/2024,15:00,Matchweek 32,Sat,Away,D,3,3,Aston Villa,3,8,3,37.5,0.38,1,16.5,2,0,0,1.5,1.5,0.2,1.5,1.5,Match Report
13/04/2024,15:00,Matchweek 33,Sat,Home,W,2,0,Sheffield Utd,1,9,5,55.6,0.11,0.2,18.7,0,0,0,1,1,0.11,0,0,Match Report
20/04/2024,15:00,Matchweek 34,Sat,Away,W,5,1,Luton Town,5,21,9,42.9,0.24,0.56,18,0,0,0,3.1,3.1,0.15,1.9,1.9,Match Report
27/04/2024,17:30,Matchweek 35,Sat,Away,L,0,1,Everton,0,10,4,40,0,0,16.6,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Match Report
04/05/2024,15:00,Matchweek 36,Sat,Home,D,0,0,Fulham,0,7,2,28.6,0,0,12.9,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
11/05/2024,15:00,Matchweek 37,Sat,Away,W,2,1,Bournemouth,2,11,4,36.4,0.18,0.5,15.7,0,0,0,1.1,1.1,0.1,0.9,0.9,Match Report
19/05/2024,16:00,Matchweek 38,Sun,Home,L,2,4,Newcastle Utd,2,10,5,50,0.2,0.4,15.9,1,0,0,1.1,1.1,0.11,0.9,0.9,Match Report
