Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
06/08/2022,17:30,Matchweek 1,Sat,Away,W,1,0,Everton,1,14,5,35.7,0,0,16.1,1,1,1,1.5,0.8,0.06,-0.5,-0.8,Match Report
14/08/2022,16:30,Matchweek 2,Sun,Home,D,2,2,Tottenham,2,16,3,18.8,0.13,0.67,17.2,0,0,0,1.6,1.6,0.1,0.4,0.4,Match Report
21/08/2022,14:00,Matchweek 3,Sun,Away,L,0,3,Leeds United,0,14,3,21.4,0,0,19.8,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report
27/08/2022,15:00,Matchweek 4,Sat,Home,W,2,1,Leicester City,2,7,4,57.1,0.29,0.5,14.6,0,0,0,1.8,1.8,0.25,0.2,0.2,Match Report
30/08/2022,19:45,Matchweek 5,Tue,Away,L,1,2,Southampton,1,10,4,40,0.1,0.25,14.5,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Match Report
03/09/2022,15:00,Matchweek 6,Sat,Home,W,2,1,West Ham,2,8,3,37.5,0.25,0.67,17.2,0,0,0,0.9,0.9,0.11,1.1,1.1,Match Report
01/10/2022,15:00,Matchweek 9,Sat,Away,W,2,1,Crystal Palace,2,13,3,23.1,0.15,0.67,14.8,0,0,0,1.1,1.1,0.09,0.9,0.9,Match Report
08/10/2022,15:00,Matchweek 10,Sat,Home,W,3,0,Wolves,3,20,7,35,0.15,0.43,14.7,0,0,0,1.9,1.9,0.1,1.1,1.1,Match Report
16/10/2022,14:00,Matchweek 11,Sun,Away,W,2,0,Aston Villa,2,8,4,50,0.25,0.5,18,1,0,0,0.9,0.9,0.11,1.1,1.1,Match Report
19/10/2022,19:30,Matchweek 12,Wed,Away,D,0,0,Brentford,0,14,5,35.7,0,0,21.4,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report
22/10/2022,17:30,Matchweek 13,Sat,Home,D,1,1,Manchester Utd,1,5,1,20,0,0,19.7,0,1,1,1.1,0.3,0.06,-0.1,-0.3,Match Report
29/10/2022,15:00,Matchweek 14,Sat,Away,L,1,4,Brighton,1,15,7,46.7,0.07,0.14,18.3,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Match Report
