Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2021,15:00,Matchweek 1,Sat,Away,L,0,3,Chelsea,0,4,1,25,0,0,10.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report
21/08/2021,15:00,Matchweek 2,Sat,Home,D,0,0,Brentford,0,7,2,28.6,0,0,15.9,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
28/08/2021,15:00,Matchweek 3,Sat,Away,D,2,2,West Ham,2,9,2,22.2,0.22,1,15.2,0,0,0,1.1,1.1,0.13,0.9,0.9,Match Report
11/09/2021,12:30,Matchweek 4,Sat,Home,W,3,0,Tottenham,3,17,3,17.6,0.12,0.67,17.5,1,1,1,2.1,1.3,0.08,0.9,0.7,Match Report
18/09/2021,15:00,Matchweek 5,Sat,Away,L,0,3,Liverpool,0,13,2,15.4,0,0,19,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
27/09/2021,20:00,Matchweek 6,Mon,Home,D,1,1,Brighton,1,7,2,28.6,0,0,24.1,1,1,1,1.4,0.6,0.09,-0.4,-0.6,Match Report
03/10/2021,14:00,Matchweek 7,Sun,Home,D,2,2,Leicester City,2,18,4,22.2,0.11,0.5,15.3,0,0,0,1.5,1.5,0.09,0.5,0.5,Match Report
18/10/2021,20:00,Matchweek 8,Mon,Away,D,2,2,Arsenal,2,9,6,66.7,0.22,0.33,21.4,0,0,0,0.7,0.7,0.08,1.3,1.3,Match Report
23/10/2021,15:00,Matchweek 9,Sat,Home,D,1,1,Newcastle Utd,1,15,3,20,0.07,0.33,15.6,0,0,0,1.9,1.9,0.12,-0.9,-0.9,Match Report
30/10/2021,15:00,Matchweek 10,Sat,Away,W,2,0,Manchester City,2,8,3,37.5,0.25,0.67,15.3,0,0,0,0.7,0.7,0.08,1.3,1.3,Match Report
06/11/2021,15:00,Matchweek 11,Sat,Home,W,2,0,Wolves,2,13,6,46.2,0.15,0.33,13.2,0,0,0,1.9,1.9,0.15,0.1,0.1,Match Report
20/11/2021,15:00,Matchweek 12,Sat,Away,D,3,3,Burnley,3,18,8,44.4,0.17,0.38,16.4,1,0,0,1.9,1.9,0.11,1.1,1.1,Match Report
27/11/2021,15:00,Matchweek 13,Sat,Home,L,1,2,Aston Villa,1,8,3,37.5,0.13,0.33,13.9,0,0,0,1,1,0.12,0,0,Match Report
30/11/2021,20:15,Matchweek 14,Tue,Away,L,0,1,Leeds United,0,9,1,11.1,0,0,18.1,1,0,0,1.1,1.1,0.13,-1.1,-1.1,Match Report
05/12/2021,14:00,Matchweek 15,Sun,Away,L,0,1,Manchester Utd,0,8,2,25,0,0,19.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
12/12/2021,16:30,Matchweek 16,Sun,Home,W,3,1,Everton,3,17,6,35.3,0.18,0.5,16.8,1,0,0,1.8,1.8,0.11,1.2,1.2,Match Report
15/12/2021,19:30,Matchweek 17,Wed,Home,D,2,2,Southampton,2,9,6,66.7,0.22,0.33,10.9,0,0,0,1.2,1.2,0.14,0.8,0.8,Match Report
26/12/2021,15:00,Matchweek 19,Sun,Away,L,0,3,Tottenham,0,4,0,0,0,,17.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Match Report
28/12/2021,15:00,Matchweek 20,Tue,Home,W,3,0,Norwich City,3,18,5,27.8,0.11,0.4,13.3,0,1,1,1.9,1.2,0.07,1.1,0.8,Match Report
01/01/2022,17:30,Matchweek 21,Sat,Home,L,2,3,West Ham,2,22,6,27.3,0.09,0.33,15.8,2,0,0,2.4,2.4,0.11,-0.4,-0.4,Match Report
14/01/2022,20:00,Matchweek 22,Fri,Away,D,1,1,Brighton,1,3,1,33.3,0.33,1,22.2,0,0,0,0.2,0.2,0.06,0.8,0.8,Match Report
23/01/2022,14:00,Matchweek 23,Sun,Home,L,1,3,Liverpool,1,8,5,62.5,0.13,0.2,12.2,0,0,0,2.2,2.2,0.27,-1.2,-1.2,Match Report
09/02/2022,19:45,Matchweek 24,Wed,Away,D,1,1,Norwich City,1,12,5,41.7,0.08,0.2,22.3,1,0,1,1.3,0.5,0.04,-0.3,0.5,Match Report
12/02/2022,15:00,Matchweek 25,Sat,Away,D,0,0,Brentford,0,6,3,50,0,0,21.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
19/02/2022,15:00,Matchweek 26,Sat,Home,L,0,1,Chelsea,0,7,0,0,0,,14.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
23/02/2022,19:30,Matchweek 18,Wed,Away,W,4,1,Watford,4,7,5,71.4,0.57,0.8,15.1,0,0,0,1.1,1.1,0.16,2.9,2.9,Match Report
26/02/2022,15:00,Matchweek 27,Sat,Home,D,1,1,Burnley,1,11,4,36.4,0.09,0.25,18.7,2,0,0,1,1,0.09,0,0,Match Report
05/03/2022,15:00,Matchweek 28,Sat,Away,W,2,0,Wolves,2,11,7,63.6,0.09,0.14,15.1,0,1,1,2.7,2,0.2,-0.7,-1,Match Report
14/03/2022,20:00,Matchweek 29,Mon,Home,D,0,0,Manchester City,0,7,1,14.3,0,0,14.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
04/04/2022,20:00,Matchweek 31,Mon,Home,W,3,0,Arsenal,3,5,4,80,0.4,0.5,21,1,1,1,1.5,0.7,0.14,1.5,1.3,Match Report
For Crystal Palace,,,,,,,,,Standard,,,,,,,,,,Expected,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
10/04/2022,14:00,Matchweek 32,Sun,Away,L,1,2,Leicester City,1,10,2,20,0.1,0.5,14,0,0,1,1.4,0.6,0.06,-0.4,0.4,Match Report
20/04/2022,19:45,Matchweek 30,Wed,Away,L,0,1,Newcastle Utd,0,10,2,20,0,0,15.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
25/04/2022,20:00,Matchweek 34,Mon,Home,D,0,0,Leeds United,0,17,7,41.2,0,0,13.6,0,0,0,1.9,1.9,0.11,-1.9,-1.9,Match Report
30/04/2022,15:00,Matchweek 35,Sat,Away,W,2,1,Southampton,2,14,5,35.7,0.14,0.4,13.9,0,0,0,1.1,1.1,0.08,0.9,0.9,Match Report
07/05/2022,15:00,Matchweek 36,Sat,Home,W,1,0,Watford,1,14,6,42.9,0,0,15.8,1,1,1,2.2,1.4,0.11,-1.2,-1.4,Match Report
15/05/2022,14:00,Matchweek 37,Sun,Away,D,1,1,Aston Villa,1,16,4,25,0.06,0.25,17.6,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Match Report
19/05/2022,19:45,Matchweek 33,Thu,Away,L,2,3,Everton,2,7,5,71.4,0.29,0.4,14.2,0,0,0,1.1,1.1,0.17,0.9,0.9,Match Report
22/05/2022,16:00,Matchweek 38,Sun,Home,W,1,0,Manchester Utd,1,6,3,50,0.17,0.33,14.1,0,0,0,0.6,0.6,0.1,0.4,0.4,Match Report
