Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
06/08/2022,12:30,Matchweek 1,Sat,Home,D,2,2,Liverpool,2,8,2,25,0.13,0.5,18.4,0,1,1,1.2,0.5,0.06,0.8,0.5,Match Report
13/08/2022,15:00,Matchweek 2,Sat,Away,D,0,0,Wolves,0,8,2,25,0,0,15.7,0,0,1,1.5,0.7,0.09,-1.5,-0.7,Match Report
20/08/2022,15:00,Matchweek 3,Sat,Home,W,3,2,Brentford,3,18,9,50,0.17,0.33,15.5,1,0,0,2.4,2.4,0.14,0.6,0.6,Match Report
27/08/2022,17:30,Matchweek 4,Sat,Away,L,1,2,Arsenal,1,11,3,27.3,0.09,0.33,13.7,0,0,0,0.8,0.8,0.08,0.2,0.2,Match Report
30/08/2022,19:30,Matchweek 5,Tue,Home,W,2,1,Brighton,1,10,3,30,0.1,0.33,15.3,1,0,0,0.7,0.7,0.07,0.3,0.3,Match Report
03/09/2022,15:00,Matchweek 6,Sat,Away,L,1,2,Tottenham,1,9,3,33.3,0.11,0.33,17.1,0,0,0,0.7,0.7,0.08,0.3,0.3,Match Report
16/09/2022,20:00,Matchweek 8,Fri,Away,W,3,2,Nott'ham Forest,3,15,7,46.7,0.2,0.43,17.3,2,0,0,0.9,0.9,0.06,2.1,2.1,Match Report
01/10/2022,15:00,Matchweek 9,Sat,Home,L,1,4,Newcastle Utd,1,3,1,33.3,0.33,1,16.2,0,0,0,0.5,0.5,0.16,0.5,0.5,Match Report
09/10/2022,14:00,Matchweek 10,Sun,Away,L,1,3,West Ham,1,8,2,25,0.13,0.5,16.6,1,0,0,0.7,0.7,0.09,0.3,0.3,Match Report
15/10/2022,15:00,Matchweek 11,Sat,Home,D,2,2,Bournemouth,2,18,3,16.7,0.06,0.33,18.9,0,1,1,2.1,1.3,0.07,-0.1,-0.3,Match Report
20/10/2022,19:30,Matchweek 12,Thu,Home,W,3,0,Aston Villa,2,17,6,35.3,0.06,0.17,16.7,1,1,1,2.1,1.3,0.08,-0.1,-0.3,Match Report
23/10/2022,14:00,Matchweek 13,Sun,Away,W,3,2,Leeds United,3,11,4,36.4,0.27,0.75,11.9,0,0,0,1.8,1.8,0.17,1.2,1.2,Match Report
29/10/2022,17:30,Matchweek 14,Sat,Home,D,0,0,Everton,0,24,6,25,0,0,16.4,0,0,0,1.9,1.9,0.08,-1.9,-1.9,Match Report
05/11/2022,15:00,Matchweek 15,Sat,Away,L,1,2,Manchester City,1,3,1,33.3,0,0,26.2,0,1,1,1,0.2,0.05,0,-0.2,Match Report
13/11/2022,16:30,Matchweek 16,Sun,Home,L,1,2,Manchester Utd,1,14,7,50,0.07,0.14,14,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Match Report
26/12/2022,15:00,Matchweek 17,Mon,Away,W,3,0,Crystal Palace,3,23,10,43.5,0.13,0.3,13.4,1,0,0,2.5,2.5,0.12,0.5,0.5,Match Report
31/12/2022,15:00,Matchweek 18,Sat,Home,W,2,1,Southampton,1,7,1,14.3,0.14,1,18.8,0,0,1,1.5,0.7,0.1,-0.5,0.3,Match Report
03/01/2023,19:45,Matchweek 19,Tue,Away,W,1,0,Leicester City,1,11,2,18.2,0.09,0.5,19.4,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Match Report
12/01/2023,20:00,Matchweek 7,Thu,Home,W,2,1,Chelsea,2,8,3,37.5,0.25,0.67,15.3,0,0,0,1,1,0.12,1,1,Match Report
15/01/2023,14:00,Matchweek 20,Sun,Away,L,0,1,Newcastle Utd,0,4,0,0,0,,18.9,0,0,1,1.1,0.3,0.08,-1.1,-0.3,Match Report
23/01/2023,20:00,Matchweek 21,Mon,Home,L,0,1,Tottenham,0,10,5,50,0,0,17.3,1,0,0,1,1,0.1,-1,-1,Match Report
03/02/2023,20:00,Matchweek 22,Fri,Away,D,0,0,Chelsea,0,10,4,40,0,0,23,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
11/02/2023,15:00,Matchweek 23,Sat,Home,W,2,0,Nott'ham Forest,2,16,3,18.8,0.13,0.67,15,1,0,0,1.5,1.5,0.1,0.5,0.5,Match Report
18/02/2023,15:00,Matchweek 24,Sat,Away,W,1,0,Brighton,1,5,2,40,0.2,0.5,16,0,0,0,0.3,0.3,0.07,0.7,0.7,Match Report
24/02/2023,20:00,Matchweek 25,Fri,Home,D,1,1,Wolves,1,10,5,50,0.1,0.2,24.2,1,0,0,0.5,0.5,0.05,0.5,0.5,Match Report
06/03/2023,20:00,Matchweek 26,Mon,Away,L,2,3,Brentford,2,9,5,55.6,0.22,0.4,17.4,1,0,0,1.4,1.4,0.18,0.6,0.6,Match Report
12/03/2023,14:00,Matchweek 27,Sun,Home,L,0,3,Arsenal,0,12,2,16.7,0,0,17.4,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
01/04/2023,15:00,Matchweek 29,Sat,Away,L,1,2,Bournemouth,1,10,2,20,0.1,0.5,16.5,0,0,0,0.8,0.8,0.08,0.2,0.2,Match Report
08/04/2023,15:00,Matchweek 30,Sat,Home,L,0,1,West Ham,0,16,3,18.8,0,0,20.5,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Match Report
15/04/2023,15:00,Matchweek 31,Sat,Away,W,3,1,Everton,3,21,7,33.3,0.14,0.43,17.9,0,0,0,1.8,1.8,0.09,1.2,1.2,Match Report
For Fulham,,,,,,,,,Standard,,,,,,,,,,Expected,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
22/04/2023,12:30,Matchweek 32,Sat,Home,W,2,1,Leeds United,2,12,5,41.7,0.17,0.4,24.4,3,0,0,1.7,1.7,0.14,0.3,0.3,Match Report
25/04/2023,19:45,Matchweek 33,Tue,Away,L,0,1,Aston Villa,0,1,0,0,0,,14.7,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Match Report
30/04/2023,14:00,Matchweek 34,Sun,Home,L,1,2,Manchester City,1,4,1,25,0.25,1,22.4,0,0,0,0.2,0.2,0.05,0.8,0.8,Match Report
03/05/2023,20:00,Matchweek 28,Wed,Away,L,0,1,Liverpool,0,9,3,33.3,0,0,16.8,0,0,0,0.9,0.9,0.1,-0.9,-0.9,Match Report
08/05/2023,15:00,Matchweek 35,Mon,Home,W,5,3,Leicester City,5,17,7,41.2,0.29,0.71,17.5,1,0,0,1.6,1.6,0.1,3.4,3.4,Match Report
13/05/2023,15:00,Matchweek 36,Sat,Away,W,2,0,Southampton,2,9,3,33.3,0.22,0.67,17.5,0,0,0,1.4,1.4,0.16,0.6,0.6,Match Report
20/05/2023,15:00,Matchweek 37,Sat,Home,D,2,2,Crystal Palace,2,10,3,30,0.1,0.33,19,1,1,1,1.7,0.9,0.09,0.3,0.1,Match Report
28/05/2023,16:30,Matchweek 38,Sun,Away,L,1,2,Manchester Utd,1,9,2,22.2,0.11,0.5,17.6,1,0,1,1.8,1,0.11,-0.8,0,Match Report
