Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2021,12:30,Matchweek 1,Sat,Away,L,1,5,Manchester Utd,1,10,3,30,0.1,0.33,21.3,0,0,0,0.5,0.5,0.05,0.5,0.5,Match Report
21/08/2021,15:00,Matchweek 2,Sat,Home,D,2,2,Everton,2,17,4,23.5,0.12,0.5,20.9,0,0,0,1.2,1.2,0.07,0.8,0.8,Match Report
29/08/2021,14:00,Matchweek 3,Sun,Away,D,1,1,Burnley,1,12,2,16.7,0.08,0.5,16.1,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Match Report
12/09/2021,16:30,Matchweek 4,Sun,Home,L,0,3,Liverpool,0,9,4,44.4,0,0,15.2,0,0,0,1.2,1.2,0.14,-1.2,-1.2,Match Report
17/09/2021,20:00,Matchweek 5,Fri,Away,D,1,1,Newcastle Utd,1,22,9,40.9,0.05,0.11,20.4,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Match Report
25/09/2021,15:00,Matchweek 6,Sat,Home,L,1,2,West Ham,1,15,5,33.3,0.07,0.2,19.5,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Match Report
02/10/2021,15:00,Matchweek 7,Sat,Home,W,1,0,Watford,1,20,3,15,0.05,0.33,18.8,1,0,0,1.3,1.3,0.07,-0.3,-0.3,Match Report
16/10/2021,15:00,Matchweek 8,Sat,Away,L,0,1,Southampton,0,3,0,0,0,,21.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Match Report
23/10/2021,15:00,Matchweek 9,Sat,Home,D,1,1,Wolves,1,17,3,17.6,0,0,19.2,0,1,1,1.6,0.8,0.05,-0.6,-0.8,Match Report
31/10/2021,14:00,Matchweek 10,Sun,Away,W,2,1,Norwich City,2,13,5,38.5,0.15,0.4,20.9,0,0,0,0.7,0.7,0.06,1.3,1.3,Match Report
07/11/2021,14:00,Matchweek 11,Sun,Home,D,1,1,Leicester City,1,18,5,27.8,0.06,0.2,17.7,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report
21/11/2021,16:30,Matchweek 12,Sun,Away,L,1,2,Tottenham,1,18,7,38.9,0.06,0.14,21.4,1,0,0,1.4,1.4,0.08,-0.4,-0.4,Match Report
27/11/2021,17:30,Matchweek 13,Sat,Away,D,0,0,Brighton,0,11,4,36.4,0,0,17.4,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
30/11/2021,20:15,Matchweek 14,Tue,Home,W,1,0,Crystal Palace,1,14,2,14.3,0,0,20.1,0,1,1,1.4,0.6,0.04,-0.4,-0.6,Match Report
05/12/2021,14:00,Matchweek 15,Sun,Home,D,2,2,Brentford,2,13,6,46.2,0.15,0.33,17.3,0,0,0,1.2,1.2,0.1,0.8,0.8,Match Report
11/12/2021,15:00,Matchweek 16,Sat,Away,L,2,3,Chelsea,2,11,4,36.4,0.09,0.25,19.4,2,1,1,1.4,0.7,0.06,0.6,0.3,Match Report
14/12/2021,20:00,Matchweek 17,Tue,Away,L,0,7,Manchester City,0,6,3,50,0,0,25.3,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
18/12/2021,17:30,Matchweek 18,Sat,Home,L,1,4,Arsenal,1,8,1,12.5,0,0,24.8,0,1,1,1.6,0.8,0.11,-0.6,-0.8,Match Report
02/01/2022,14:00,Matchweek 21,Sun,Home,W,3,1,Burnley,3,22,7,31.8,0.14,0.43,18.9,0,0,0,1.9,1.9,0.09,1.1,1.1,Match Report
16/01/2022,14:00,Matchweek 22,Sun,Away,W,3,2,West Ham,3,18,5,27.8,0.17,0.6,16.8,2,0,0,2.2,2.2,0.12,0.8,0.8,Match Report
22/01/2022,15:00,Matchweek 23,Sat,Home,L,0,1,Newcastle Utd,0,13,4,30.8,0,0,16.1,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
09/02/2022,20:00,Matchweek 24,Wed,Away,D,3,3,Aston Villa,3,16,7,43.8,0.19,0.43,13.9,0,0,0,1.8,1.8,0.12,1.2,1.2,Match Report
12/02/2022,15:00,Matchweek 25,Sat,Away,L,0,3,Everton,0,7,0,0,0,,24.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
20/02/2022,14:00,Matchweek 26,Sun,Home,L,2,4,Manchester Utd,2,16,6,37.5,0.13,0.33,19.3,0,0,0,1.8,1.8,0.11,0.2,0.2,Match Report
23/02/2022,19:45,Matchweek 19,Wed,Away,L,0,6,Liverpool,0,3,2,66.7,0,0,21.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Match Report
26/02/2022,12:30,Matchweek 27,Sat,Home,L,0,4,Tottenham,0,19,2,10.5,0,0,18,1,0,0,1.5,1.5,0.08,-1.5,-1.5,Match Report
05/03/2022,12:30,Matchweek 28,Sat,Away,L,0,1,Leicester City,0,19,4,21.1,0,0,13.3,0,0,0,1.7,1.7,0.09,-1.7,-1.7,Match Report
10/03/2022,19:45,Matchweek 20,Thu,Home,L,0,3,Aston Villa,0,4,1,25,0,0,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report
13/03/2022,14:00,Matchweek 29,Sun,Home,W,2,1,Norwich City,2,13,7,53.8,0.15,0.29,14.4,1,0,0,2.5,2.5,0.22,-0.5,-0.5,Match Report
18/03/2022,20:00,Matchweek 30,Fri,Away,W,3,2,Wolves,3,15,5,33.3,0.2,0.6,13.8,1,0,0,2,2,0.15,1,1,Match Report
For Leeds United,,,,,,,,,Standard,,,,,,,,,,Expected,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
02/04/2022,15:00,Matchweek 31,Sat,Home,D,1,1,Southampton,1,12,3,25,0.08,0.33,17.8,0,0,0,1.2,1.2,0.1,-0.2,-0.2,Match Report
09/04/2022,15:00,Matchweek 32,Sat,Away,W,3,0,Watford,3,10,5,50,0.3,0.6,17.9,0,0,0,0.7,0.7,0.07,2.3,2.3,Match Report
25/04/2022,20:00,Matchweek 34,Mon,Away,D,0,0,Crystal Palace,0,9,2,22.2,0,0,17.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
30/04/2022,17:30,Matchweek 35,Sat,Home,L,0,4,Manchester City,0,7,1,14.3,0,0,12.2,0,0,0,1.3,1.3,0.2,-1.3,-1.3,Match Report
08/05/2022,14:00,Matchweek 36,Sun,Away,L,1,2,Arsenal,1,3,2,66.7,0.33,0.5,11,0,0,0,0.3,0.3,0.1,0.7,0.7,Match Report
11/05/2022,19:30,Matchweek 33,Wed,Home,L,0,3,Chelsea,0,5,0,0,0,,19.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Match Report
15/05/2022,14:00,Matchweek 37,Sun,Home,D,1,1,Brighton,1,19,4,21.1,0.05,0.25,15.1,1,0,0,1.6,1.6,0.09,-0.6,-0.6,Match Report
