Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2021,17:30,Matchweek 1,Sat,Away,W,3,0,Norwich City,3,19,6,31.6,0.16,0.5,17.3,1,0,0,1.6,1.6,0.09,1.4,1.4,Match Report
21/08/2021,12:30,Matchweek 2,Sat,Home,W,2,0,Burnley,2,27,8,29.6,0.07,0.25,16.1,0,0,0,2.7,2.7,0.1,-0.7,-0.7,Match Report
28/08/2021,17:30,Matchweek 3,Sat,Home,D,1,1,Chelsea,1,23,6,26.1,0,0,16.2,0,1,1,2.5,2.1,0.1,-1.5,-2.1,Match Report
12/09/2021,16:30,Matchweek 4,Sun,Away,W,3,0,Leeds United,3,30,8,26.7,0.1,0.38,16.1,1,0,0,4.3,4.3,0.15,-1.3,-1.3,Match Report
18/09/2021,15:00,Matchweek 5,Sat,Home,W,3,0,Crystal Palace,3,25,10,40,0.12,0.3,16.4,1,0,0,3.1,3.1,0.13,-0.1,-0.1,Match Report
25/09/2021,17:30,Matchweek 6,Sat,Away,D,3,3,Brentford,3,16,5,31.3,0.19,0.6,17,1,0,0,2.8,2.8,0.19,0.2,0.2,Match Report
03/10/2021,16:30,Matchweek 7,Sun,Home,D,2,2,Manchester City,2,6,3,50,0.33,0.67,15,1,0,0,0.9,0.9,0.15,1.1,1.1,Match Report
16/10/2021,12:30,Matchweek 8,Sat,Away,W,5,0,Watford,5,19,8,42.1,0.26,0.63,16,0,0,0,3.3,3.3,0.17,1.7,1.7,Match Report
24/10/2021,16:30,Matchweek 9,Sun,Away,W,5,0,Manchester Utd,5,19,8,42.1,0.26,0.63,16.6,0,0,0,3.4,3.4,0.18,1.6,1.6,Match Report
30/10/2021,15:00,Matchweek 10,Sat,Home,D,2,2,Brighton,2,14,3,21.4,0.14,0.67,20.8,0,0,0,1.5,1.5,0.1,0.5,0.5,Match Report
07/11/2021,16:30,Matchweek 11,Sun,Away,L,2,3,West Ham,2,16,5,31.3,0.13,0.4,16.7,1,0,0,1.2,1.2,0.08,0.8,0.8,Match Report
20/11/2021,17:30,Matchweek 12,Sat,Home,W,4,0,Arsenal,4,19,9,47.4,0.21,0.44,13.4,0,0,0,4.3,4.3,0.23,-0.3,-0.3,Match Report
27/11/2021,15:00,Matchweek 13,Sat,Home,W,4,0,Southampton,4,20,6,30,0.2,0.67,15.5,0,0,0,2.9,2.9,0.15,1.1,1.1,Match Report
01/12/2021,20:15,Matchweek 14,Wed,Away,W,4,1,Everton,4,16,7,43.8,0.25,0.57,16.5,1,0,0,2.4,2.4,0.15,1.6,1.6,Match Report
04/12/2021,15:00,Matchweek 15,Sat,Away,W,1,0,Wolves,1,17,4,23.5,0.06,0.25,13.6,0,0,0,2.7,2.7,0.17,-1.7,-1.7,Match Report
11/12/2021,15:00,Matchweek 16,Sat,Home,W,1,0,Aston Villa,1,19,4,21.1,0,0,16.1,0,1,1,2.2,1.4,0.07,-1.2,-1.4,Match Report
16/12/2021,20:00,Matchweek 17,Thu,Home,W,3,1,Newcastle Utd,3,23,8,34.8,0.13,0.38,16.4,0,0,0,2.7,2.7,0.14,0.3,0.3,Match Report
19/12/2021,16:30,Matchweek 18,Sun,Away,D,2,2,Tottenham,2,18,6,33.3,0.11,0.33,16.7,0,0,0,1.1,1.1,0.06,0.9,0.9,Match Report
28/12/2021,20:00,Matchweek 20,Tue,Away,L,0,1,Leicester City,0,20,3,15,0,0,15,0,0,1,2.3,1.4,0.07,-2.3,-1.4,Match Report
02/01/2022,16:30,Matchweek 21,Sun,Away,D,2,2,Chelsea,2,10,6,60,0.2,0.33,17.9,0,0,0,1.3,1.3,0.13,0.7,0.7,Match Report
16/01/2022,14:00,Matchweek 22,Sun,Home,W,3,0,Brentford,3,27,13,48.1,0.11,0.23,16.7,0,0,0,2.7,2.7,0.1,0.3,0.3,Match Report
23/01/2022,14:00,Matchweek 23,Sun,Away,W,3,1,Crystal Palace,3,13,6,46.2,0.15,0.33,21.6,0,1,1,1.9,1.1,0.08,1.1,0.9,Match Report
10/02/2022,19:45,Matchweek 24,Thu,Home,W,2,0,Leicester City,2,22,11,50,0.09,0.18,15.7,0,0,0,1.8,1.8,0.08,0.2,0.2,Match Report
13/02/2022,14:00,Matchweek 25,Sun,Away,W,1,0,Burnley,1,12,4,33.3,0.08,0.25,14.4,0,0,0,1.7,1.7,0.18,-0.7,-0.7,Match Report
19/02/2022,15:00,Matchweek 26,Sat,Home,W,3,1,Norwich City,3,29,7,24.1,0.1,0.43,17.8,0,0,0,3.6,3.6,0.13,-0.6,-0.6,Match Report
23/02/2022,19:45,Matchweek 19,Wed,Home,W,6,0,Leeds United,6,21,12,57.1,0.19,0.33,17.7,0,2,2,5.9,4.3,0.21,0.1,-0.3,Match Report
