Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
11/08/2023,20:00,Matchweek 1,Fri,Away,W,3,0,Burnley,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,Match Report
19/08/2023,20:00,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1,14,4,28.6,0.07,0.25,17.9,0,0,0,1,1,0.07,0,0,Match Report
27/08/2023,14:00,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,2,29,9,31,0.07,0.22,17.3,2,0,1,3.5,2.8,0.1,-1.5,-0.8,Match Report
02/09/2023,15:00,Matchweek 4,Sat,Home,W,5,1,Fulham,5,6,4,66.7,0.67,1,14.8,0,1,1,2.2,1.4,0.25,2.8,2.6,Match Report
16/09/2023,15:00,Matchweek 5,Sat,Away,W,3,1,West Ham,3,29,13,44.8,0.1,0.23,16.4,1,0,0,3.6,3.6,0.13,-0.6,-0.6,Match Report
23/09/2023,15:00,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,2,7,4,57.1,0.29,0.5,17.2,2,0,0,1.3,1.3,0.19,0.7,0.7,Match Report
30/09/2023,15:00,Matchweek 7,Sat,Away,L,1,2,Wolves,1,23,8,34.8,0.04,0.13,19.3,1,0,0,0.9,0.9,0.04,0.1,0.1,Match Report
08/10/2023,16:30,Matchweek 8,Sun,Away,L,0,1,Arsenal,0,4,0,0,0,,14.9,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Match Report
21/10/2023,15:00,Matchweek 9,Sat,Home,W,2,1,Brighton,2,10,5,50,0.2,0.4,18.8,1,0,0,0.8,0.8,0.08,1.2,1.2,Match Report
29/10/2023,15:30,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,3,20,9,45,0.1,0.22,17.2,2,1,1,4,3.2,0.16,-1,-1.2,
04/11/2023,15:00,Matchweek 11,Sat,Home,W,6,1,Bournemouth,6,21,8,38.1,0.29,0.75,16.4,0,0,0,1.9,1.9,0.09,4.1,4.1,Match Report
12/11/2023,16:30,Matchweek 12,Sun,Away,D,4,4,Chelsea,4,14,9,64.3,0.21,0.33,16.6,1,1,1,2.9,2.1,0.15,1.1,0.9,Match Report
25/11/2023,12:30,Matchweek 13,Sat,Home,D,1,1,Liverpool,1,16,5,31.3,0.06,0.2,16.3,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report
03/12/2023,16:30,Matchweek 14,Sun,Home,D,3,3,Tottenham,2,17,4,23.5,0.12,0.5,13.4,0,0,0,2.6,2.6,0.15,-0.6,-0.6,Match Report
06/12/2023,20:15,Matchweek 15,Wed,Away,L,0,1,Aston Villa,0,2,2,100,0,0,7.4,0,0,0,0.6,0.6,0.37,-0.6,-0.6,Match Report
10/12/2023,14:00,Matchweek 16,Sun,Away,W,2,1,Luton Town,2,18,6,33.3,0.11,0.33,18.7,1,0,0,1.6,1.6,0.09,0.4,0.4,Match Report
16/12/2023,15:00,Matchweek 17,Sat,Home,D,2,2,Crystal Palace,2,19,9,47.4,0.11,0.22,18.2,0,0,0,1.6,1.6,0.08,0.4,0.4,Match Report
27/12/2023,20:15,Matchweek 19,Wed,Away,W,3,1,Everton,3,22,8,36.4,0.09,0.25,19.5,1,1,1,2.4,1.8,0.09,0.6,0.2,Match Report
30/12/2023,15:00,Matchweek 20,Sat,Home,W,2,0,Sheffield Utd,2,18,4,22.2,0.11,0.5,17.4,0,0,0,2.2,2.2,0.12,-0.2,-0.2,Match Report
13/01/2024,17:30,Matchweek 21,Sat,Away,W,3,2,Newcastle Utd,3,27,11,40.7,0.11,0.27,19.3,2,0,0,3,3,0.11,0,0,Match Report
31/01/2024,19:30,Matchweek 22,Wed,Home,W,3,1,Burnley,3,14,4,28.6,0.21,0.75,15.8,1,0,0,1.7,1.7,0.13,1.3,1.3,Match Report
05/02/2024,20:00,Matchweek 23,Mon,Away,W,3,1,Brentford,3,25,15,60,0.12,0.2,19.2,0,0,0,2.1,2.1,0.08,0.9,0.9,Match Report
10/02/2024,12:30,Matchweek 24,Sat,Home,W,2,0,Everton,2,19,3,15.8,0.11,0.67,17.4,0,0,0,1.6,1.6,0.09,0.4,0.4,Match Report
17/02/2024,17:30,Matchweek 25,Sat,Home,D,1,1,Chelsea,1,31,5,16.1,0.03,0.2,15.9,1,0,0,2.6,2.6,0.09,-1.6,-1.6,Match Report
20/02/2024,19:30,Matchweek 18,Tue,Home,W,1,0,Brentford,1,25,10,40,0.04,0.1,17.6,0,0,0,2.3,2.3,0.1,-1.3,-1.3,Match Report
24/02/2024,17:30,Matchweek 26,Sat,Away,W,1,0,Bournemouth,1,15,6,40,0.07,0.17,15.5,1,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
03/03/2024,15:30,Matchweek 27,Sun,Home,W,3,1,Manchester Utd,3,27,8,29.6,0.11,0.38,17.7,1,0,0,3.3,3.3,0.12,-0.3,-0.3,Match Report
10/03/2024,15:45,Matchweek 28,Sun,Away,D,1,1,Liverpool,1,10,6,60,0.1,0.17,18.6,0,0,0,1.6,1.6,0.16,-0.6,-0.6,Match Report
31/03/2024,16:30,Matchweek 30,Sun,Home,D,0,0,Arsenal,0,12,1,8.3,0,0,14.2,0,0,0,1,1,0.09,-1,-1,Match Report
03/04/2024,20:15,Matchweek 31,Wed,Home,W,4,1,Aston Villa,4,25,11,44,0.16,0.36,15.9,2,0,0,3.4,3.4,0.14,0.6,0.6,Match Report
06/04/2024,12:30,Matchweek 32,Sat,Away,W,4,2,Crystal Palace,4,18,8,44.4,0.22,0.5,16.1,0,0,0,1.9,1.9,0.11,2.1,2.1,Match Report
13/04/2024,15:00,Matchweek 33,Sat,Home,W,5,1,Luton Town,4,36,12,33.3,0.08,0.25,16.9,0,1,1,4.2,3.4,0.1,-0.2,-0.4,Match Report
25/04/2024,20:00,Matchweek 29,Thu,Away,W,4,0,Brighton,4,14,6,42.9,0.29,0.67,17,1,0,0,1.4,1.4,0.1,2.6,2.6,Match Report
28/04/2024,16:30,Matchweek 35,Sun,Away,W,2,0,Nott'ham Forest,2,11,5,45.5,0.18,0.4,18.7,1,0,0,0.9,0.9,0.08,1.1,1.1,Match Report
04/05/2024,17:30,Matchweek 36,Sat,Home,W,5,1,Wolves,5,18,10,55.6,0.17,0.3,15.3,0,2,2,3.7,2.1,0.12,1.3,0.9,Match Report
11/05/2024,12:30,Matchweek 37,Sat,Away,W,4,0,Fulham,4,15,8,53.3,0.2,0.38,17.6,0,1,1,3.2,2.4,0.16,0.8,0.6,Match Report
14/05/2024,20:00,Matchweek 34,Tue,Away,W,2,0,Tottenham,2,7,4,57.1,0.14,0.25,14.5,0,1,1,2.4,1.6,0.23,-0.4,-0.6,Match Report
