Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2021,12:30,Matchweek 1,Sat,Home,W,5,1,Leeds United,5,16,8,50,0.31,0.63,18.2,0,0,0,1.5,1.5,0.09,3.5,3.5,Match Report
22/08/2021,14:00,Matchweek 2,Sun,Away,D,1,1,Southampton,1,15,3,20,0.07,0.33,15.1,1,0,0,1.8,1.8,0.14,-0.8,-0.8,Match Report
29/08/2021,16:30,Matchweek 3,Sun,Away,W,1,0,Wolves,1,10,3,30,0.1,0.33,18.8,1,0,0,0.6,0.6,0.06,0.4,0.4,Match Report
11/09/2021,15:00,Matchweek 4,Sat,Home,W,4,1,Newcastle Utd,4,21,6,28.6,0.19,0.67,20.5,0,0,0,2.5,2.5,0.12,1.5,1.5,Match Report
19/09/2021,14:00,Matchweek 5,Sun,Away,W,2,1,West Ham,2,17,10,58.8,0.12,0.2,17.1,0,0,0,2,2,0.15,0,0,Match Report
25/09/2021,12:30,Matchweek 6,Sat,Home,L,0,1,Aston Villa,0,27,4,14.8,0,0,19.7,2,0,1,2.2,1.4,0.05,-2.2,-1.4,Match Report
02/10/2021,12:30,Matchweek 7,Sat,Home,D,1,1,Everton,1,13,6,46.2,0.08,0.17,15.1,0,0,0,1,1,0.08,0,0,Match Report
16/10/2021,15:00,Matchweek 8,Sat,Away,L,2,4,Leicester City,2,18,6,33.3,0.11,0.33,21,0,0,0,1.2,1.2,0.06,0.8,0.8,Match Report
24/10/2021,16:30,Matchweek 9,Sun,Home,L,0,5,Liverpool,0,12,3,25,0,0,15.5,0,0,0,1.6,1.6,0.13,-1.6,-1.6,Match Report
30/10/2021,17:30,Matchweek 10,Sat,Away,W,3,0,Tottenham,3,10,4,40,0.3,0.75,17.9,0,0,0,1.5,1.5,0.15,1.5,1.5,Match Report
06/11/2021,12:30,Matchweek 11,Sat,Home,L,0,2,Manchester City,0,5,1,20,0,0,17.3,0,0,0,0.9,0.9,0.2,-0.9,-0.9,Match Report
20/11/2021,15:00,Matchweek 12,Sat,Away,L,1,4,Watford,1,9,3,33.3,0.11,0.33,14.9,0,0,0,1.4,1.4,0.16,-0.4,-0.4,Match Report
