Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
06/08/2022,15:00,Matchweek 1,Sat,Home,W,2,0,Nott'ham Forest,2,23,9,39.1,0.09,0.22,16,1,0,0,1.7,1.7,0.08,0.3,0.3,Match Report
13/08/2022,15:00,Matchweek 2,Sat,Away,D,0,0,Brighton,0,4,1,25,0,0,17.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Match Report
21/08/2022,16:30,Matchweek 3,Sun,Home,D,3,3,Manchester City,3,12,5,41.7,0.25,0.6,14.8,1,0,0,1.8,1.8,0.15,1.2,1.2,Match Report
28/08/2022,14:00,Matchweek 4,Sun,Away,D,1,1,Wolves,1,21,6,28.6,0.05,0.17,18.1,1,0,0,1.7,1.7,0.08,-0.7,-0.7,Match Report
31/08/2022,20:00,Matchweek 5,Wed,Away,L,1,2,Liverpool,1,5,2,40,0.2,0.5,18.2,1,0,0,0.7,0.7,0.14,0.3,0.3,Match Report
03/09/2022,15:00,Matchweek 6,Sat,Home,D,0,0,Crystal Palace,0,23,5,21.7,0,0,12.8,1,0,0,2.8,2.8,0.13,-2.8,-2.8,Match Report
17/09/2022,15:00,Matchweek 8,Sat,Home,D,1,1,Bournemouth,1,19,6,31.6,0,0,20,1,1,1,1.9,1.1,0.06,-0.9,-1.1,Match Report
01/10/2022,15:00,Matchweek 9,Sat,Away,W,4,1,Fulham,4,19,10,52.6,0.21,0.4,12.9,0,0,0,3.3,3.3,0.19,0.7,0.7,Match Report
08/10/2022,15:00,Matchweek 10,Sat,Home,W,5,1,Brentford,4,16,6,37.5,0.25,0.67,18.6,0,0,0,1.5,1.5,0.1,2.5,2.5,Match Report
16/10/2022,14:00,Matchweek 11,Sun,Away,D,0,0,Manchester Utd,0,9,2,22.2,0,0,14.7,1,0,0,0.8,0.8,0.1,-0.8,-0.8,Match Report
