Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,12:30,Matchweek 1,Sat,Away,L,1,2,Arsenal,1,6,2,33.3,0.17,0.5,17.3,0,0,0,1.2,1.2,0.2,-0.2,-0.2,Match Report
18/08/2023,19:45,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,2,16,4,25,0.13,0.5,15.6,0,0,0,1.4,1.4,0.09,0.6,0.6,Match Report
26/08/2023,15:00,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,2,9,4,44.4,0.22,0.5,14.7,0,0,0,1.2,1.2,0.13,0.8,0.8,Match Report
02/09/2023,15:00,Matchweek 4,Sat,Away,W,1,0,Chelsea,1,7,3,42.9,0.14,0.33,19,0,0,0,0.8,0.8,0.11,0.2,0.2,Match Report
18/09/2023,19:45,Matchweek 5,Mon,Home,D,1,1,Burnley,1,14,4,28.6,0.07,0.25,18.8,0,0,0,0.7,0.7,0.05,0.3,0.3,Match Report
23/09/2023,15:00,Matchweek 6,Sat,Away,L,0,2,Manchester City,0,10,3,30,0,0,17.8,1,0,0,1,1,0.1,-1,-1,Match Report
01/10/2023,14:00,Matchweek 7,Sun,Home,D,1,1,Brentford,1,6,1,16.7,0.17,1,15.4,0,0,0,0.5,0.5,0.08,0.5,0.5,Match Report
07/10/2023,17:30,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,0,16,5,31.3,0,0,18.4,0,0,0,1,1,0.07,-1,-1,Match Report
21/10/2023,15:00,Matchweek 9,Sat,Home,D,2,2,Luton Town,2,19,8,42.1,0.11,0.25,11.1,0,0,0,2.9,2.9,0.16,-0.9,-0.9,Match Report
29/10/2023,14:00,Matchweek 10,Sun,Away,L,0,3,Liverpool,0,9,1,11.1,0,0,15.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report
05/11/2023,14:00,Matchweek 11,Sun,Home,W,2,0,Aston Villa,2,5,3,60,0.4,0.67,21.1,0,0,0,0.4,0.4,0.08,1.6,1.6,Match Report
12/11/2023,14:00,Matchweek 12,Sun,Away,L,2,3,West Ham,2,10,5,50,0.2,0.4,15.6,0,0,0,1.7,1.7,0.18,0.3,0.3,Match Report
