Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,15:00,Matchweek 1,Sat,Home,L,0,1,Crystal Palace,0,8,1,12.5,0,0,19.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
18/08/2023,19:45,Matchweek 2,Fri,Away,L,1,2,Nott'ham Forest,1,7,3,42.9,0.14,0.33,18.8,0,0,0,0.5,0.5,0.07,0.5,0.5,Match Report
27/08/2023,14:00,Matchweek 3,Sun,Home,L,1,2,Manchester City,1,6,1,16.7,0.17,1,16.1,0,0,0,0.7,0.7,0.11,0.3,0.3,Match Report
02/09/2023,12:30,Matchweek 4,Sat,Home,D,2,2,Everton,1,13,7,53.8,0.08,0.14,14.1,0,0,0,1.2,1.2,0.1,-0.2,-0.2,Match Report
16/09/2023,15:00,Matchweek 5,Sat,Away,L,1,2,Tottenham,1,7,5,71.4,0.14,0.2,17.6,0,0,0,0.7,0.7,0.09,0.3,0.3,Match Report
24/09/2023,16:30,Matchweek 6,Sun,Home,L,0,8,Newcastle Utd,0,9,1,11.1,0,0,13.7,0,0,0,0.9,0.9,0.1,-0.9,-0.9,Match Report
30/09/2023,15:00,Matchweek 7,Sat,Away,L,0,2,West Ham,0,16,2,12.5,0,0,15.7,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Match Report
07/10/2023,15:00,Matchweek 8,Sat,Away,L,1,3,Fulham,0,5,2,40,0,0,16.6,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Match Report
21/10/2023,20:00,Matchweek 9,Sat,Home,L,1,2,Manchester Utd,1,11,5,45.5,0,0,25.8,0,1,1,1.4,0.6,0.06,-0.4,-0.6,Match Report
28/10/2023,15:00,Matchweek 10,Sat,Away,L,0,5,Arsenal,0,2,0,0,0,,39.9,0,0,0,0,0,0.02,0,0,
04/11/2023,15:00,Matchweek 11,Sat,Home,W,2,1,Wolves,2,10,1,10,0.1,1,27.6,1,1,1,1,0.3,0.03,1,0.7,Match Report
12/11/2023,14:00,Matchweek 12,Sun,Away,D,1,1,Brighton,0,9,1,11.1,0,0,19.3,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Match Report
25/11/2023,15:00,Matchweek 13,Sat,Home,L,1,3,Bournemouth,1,10,2,20,0.1,0.5,14.9,0,0,0,0.8,0.8,0.08,0.2,0.2,Match Report
02/12/2023,15:00,Matchweek 14,Sat,Away,L,0,5,Burnley,0,6,3,50,0,0,18.9,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Match Report
06/12/2023,19:30,Matchweek 15,Wed,Home,L,0,2,Liverpool,0,6,1,16.7,0,0,14.6,1,0,0,1,1,0.16,-1,-1,Match Report
09/12/2023,15:00,Matchweek 16,Sat,Home,W,1,0,Brentford,1,9,4,44.4,0.11,0.25,21.7,0,0,0,0.8,0.8,0.09,0.2,0.2,Match Report
16/12/2023,15:00,Matchweek 17,Sat,Away,L,0,2,Chelsea,0,6,1,16.7,0,0,19.7,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
22/12/2023,20:00,Matchweek 18,Fri,Away,D,1,1,Aston Villa,1,5,2,40,0.2,0.5,19.7,0,0,0,0.6,0.6,0.12,0.4,0.4,Match Report
26/12/2023,15:00,Matchweek 19,Tue,Home,L,2,3,Luton Town,2,21,4,19,0.1,0.5,16.3,1,0,0,2.4,2.4,0.14,-0.4,-0.4,Match Report
30/12/2023,15:00,Matchweek 20,Sat,Away,L,0,2,Manchester City,0,4,2,50,0,0,14.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Match Report
21/01/2024,14:00,Matchweek 21,Sun,Home,D,2,2,West Ham,2,20,5,25,0.05,0.2,18.5,1,1,1,2.5,1.7,0.09,-0.5,-0.7,Match Report
