Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2021,15:00,Matchweek 1,Sat,Away,L,1,3,Everton,1,6,3,50,0.17,0.33,15.5,0,0,0,0.8,0.8,0.14,0.2,0.2,Match Report
22/08/2021,14:00,Matchweek 2,Sun,Home,D,1,1,Manchester Utd,0,8,3,37.5,0,0,21.5,2,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report
28/08/2021,15:00,Matchweek 3,Sat,Away,D,2,2,Newcastle Utd,2,21,5,23.8,0.05,0.2,19.2,1,1,1,3.6,2.9,0.16,-1.6,-1.9,Match Report
11/09/2021,15:00,Matchweek 4,Sat,Home,D,0,0,West Ham,0,11,2,18.2,0,0,14.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
18/09/2021,15:00,Matchweek 5,Sat,Away,D,0,0,Manchester City,0,10,2,20,0,0,19.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report
26/09/2021,14:00,Matchweek 6,Sun,Home,L,0,1,Wolves,0,18,6,33.3,0,0,20.7,1,0,0,1,1,0.06,-1,-1,Match Report
02/10/2021,15:00,Matchweek 7,Sat,Away,L,1,3,Chelsea,1,5,1,20,0,0,24,0,1,1,1.3,0.6,0.11,-0.3,-0.6,Match Report
16/10/2021,15:00,Matchweek 8,Sat,Home,W,1,0,Leeds United,1,19,4,21.1,0.05,0.25,18.7,1,0,0,1.9,1.9,0.1,-0.9,-0.9,Match Report
23/10/2021,15:00,Matchweek 9,Sat,Home,D,2,2,Burnley,2,16,4,25,0.13,0.5,16.9,0,0,0,1.6,1.6,0.1,0.4,0.4,Match Report
30/10/2021,15:00,Matchweek 10,Sat,Away,W,1,0,Watford,1,12,1,8.3,0.08,1,15,0,0,0,1.8,1.8,0.15,-0.8,-0.8,Match Report
05/11/2021,20:00,Matchweek 11,Fri,Home,W,1,0,Aston Villa,1,9,3,33.3,0.11,0.33,15.6,0,0,0,0.6,0.6,0.07,0.4,0.4,Match Report
20/11/2021,15:00,Matchweek 12,Sat,Away,L,1,2,Norwich City,1,17,5,29.4,0.06,0.2,18.8,0,0,0,1,1,0.06,0,0,Match Report
27/11/2021,15:00,Matchweek 13,Sat,Away,L,0,4,Liverpool,0,7,3,42.9,0,0,10.5,0,0,0,1,1,0.15,-1,-1,Match Report
01/12/2021,19:30,Matchweek 14,Wed,Home,D,2,2,Leicester City,2,15,7,46.7,0.13,0.29,14.9,0,0,0,1.5,1.5,0.1,0.5,0.5,Match Report
04/12/2021,15:00,Matchweek 15,Sat,Home,D,1,1,Brighton,1,14,4,28.6,0.07,0.25,17.6,1,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
11/12/2021,15:00,Matchweek 16,Sat,Away,L,0,3,Arsenal,0,11,6,54.5,0,0,22.1,3,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
15/12/2021,19:30,Matchweek 17,Wed,Away,D,2,2,Crystal Palace,2,15,4,26.7,0.13,0.5,21.3,1,0,0,0.6,0.6,0.04,1.4,1.4,Match Report
26/12/2021,15:00,Matchweek 19,Sun,Away,W,3,2,West Ham,3,10,5,50,0.2,0.4,22.8,0,1,1,1.2,0.4,0.04,1.8,1.6,Match Report
28/12/2021,15:00,Matchweek 20,Tue,Home,D,1,1,Tottenham,1,9,2,22.2,0.11,0.5,20,0,0,0,0.4,0.4,0.04,0.6,0.6,Match Report
11/01/2022,19:45,Matchweek 18,Tue,Home,W,4,1,Brentford,3,12,6,50,0.25,0.5,17.9,0,0,0,1.4,1.4,0.12,1.6,1.6,Match Report
15/01/2022,15:00,Matchweek 22,Sat,Away,L,1,3,Wolves,1,13,10,76.9,0.08,0.1,20.4,2,0,0,0.8,0.8,0.06,0.2,0.2,Match Report
22/01/2022,17:30,Matchweek 23,Sat,Home,D,1,1,Manchester City,1,7,3,42.9,0.14,0.33,11,0,0,0,0.8,0.8,0.12,0.2,0.2,Match Report
09/02/2022,19:45,Matchweek 24,Wed,Away,W,3,2,Tottenham,3,23,9,39.1,0.13,0.33,16.8,0,0,0,2.2,2.2,0.1,0.8,0.8,Match Report
12/02/2022,12:30,Matchweek 25,Sat,Away,D,1,1,Manchester Utd,1,13,4,30.8,0.08,0.25,21.1,0,0,0,0.8,0.8,0.07,0.2,0.2,Match Report
19/02/2022,15:00,Matchweek 26,Sat,Home,W,2,0,Everton,2,19,11,57.9,0.11,0.18,15.4,1,0,0,2.5,2.5,0.13,-0.5,-0.5,Match Report
25/02/2022,20:00,Matchweek 27,Fri,Home,W,2,0,Norwich City,2,27,9,33.3,0.07,0.22,15.9,1,0,0,2.6,2.6,0.1,-0.6,-0.6,Match Report
05/03/2022,15:00,Matchweek 28,Sat,Away,L,0,4,Aston Villa,0,11,1,9.1,0,0,18,1,0,0,1.1,1.1,0.11,-1.1,-1.1,Match Report
10/03/2022,19:30,Matchweek 21,Thu,Home,L,1,2,Newcastle Utd,1,14,5,35.7,0.07,0.2,13.9,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
13/03/2022,14:00,Matchweek 29,Sun,Home,L,1,2,Watford,1,13,6,46.2,0.08,0.17,12.8,1,0,0,1.4,1.4,0.11,-0.4,-0.4,Match Report
02/04/2022,15:00,Matchweek 31,Sat,Away,D,1,1,Leeds United,1,14,5,35.7,0.07,0.2,16.4,1,0,0,1.4,1.4,0.12,-0.4,-0.4,Match Report
For Southampton,,,,,,,,,Standard,,,,,,,,,,Expected,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
09/04/2022,15:00,Matchweek 32,Sat,Home,L,0,6,Chelsea,0,4,1,25,0,0,17,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Match Report
16/04/2022,15:00,Matchweek 33,Sat,Home,W,1,0,Arsenal,1,9,3,33.3,0.11,0.33,15.9,1,0,0,0.8,0.8,0.09,0.2,0.2,Match Report
21/04/2022,19:45,Matchweek 30,Thu,Away,L,0,2,Burnley,0,11,3,27.3,0,0,15.1,1,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
24/04/2022,14:00,Matchweek 34,Sun,Away,D,2,2,Brighton,2,18,5,27.8,0.11,0.4,20.4,1,0,0,0.9,0.9,0.05,1.1,1.1,Match Report
30/04/2022,15:00,Matchweek 35,Sat,Home,L,1,2,Crystal Palace,1,8,3,37.5,0.13,0.33,16.4,0,0,0,0.6,0.6,0.08,0.4,0.4,Match Report
07/05/2022,15:00,Matchweek 36,Sat,Away,L,0,3,Brentford,0,19,4,21.1,0,0,18.8,2,0,0,1.4,1.4,0.07,-1.4,-1.4,Match Report
17/05/2022,19:45,Matchweek 37,Tue,Home,L,1,2,Liverpool,1,4,2,50,0.25,0.5,25.2,1,0,0,0.1,0.1,0.03,0.9,0.9,Match Report
22/05/2022,16:00,Matchweek 38,Sun,Away,L,1,4,Leicester City,1,6,1,16.7,0,0,18.9,1,1,1,1.1,0.4,0.06,-0.1,-0.4,Match Report
