Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
06/08/2022,15:00,Matchweek 1,Sat,Home,W,4,1,Southampton,3,18,8,44.4,0.17,0.38,16.5,0,0,0,1.5,1.5,0.09,1.5,1.5,Match Report
14/08/2022,16:30,Matchweek 2,Sun,Away,D,2,2,Chelsea,2,10,5,50,0.2,0.4,13.4,0,0,0,1,1,0.1,1,1,Match Report
20/08/2022,12:30,Matchweek 3,Sat,Home,W,1,0,Wolves,1,11,4,36.4,0.09,0.25,11.7,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Match Report
28/08/2022,16:30,Matchweek 4,Sun,Away,W,2,0,Nott'ham Forest,2,17,5,29.4,0.12,0.4,19.7,0,0,1,2.4,1.6,0.1,-0.4,0.4,Match Report
31/08/2022,19:45,Matchweek 5,Wed,Away,D,1,1,West Ham,0,12,3,25,0,0,16.8,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
03/09/2022,15:00,Matchweek 6,Sat,Home,W,2,1,Fulham,2,23,10,43.5,0.09,0.2,15.5,1,0,0,2.9,2.9,0.14,-0.9,-0.9,Match Report
17/09/2022,17:30,Matchweek 8,Sat,Home,W,6,2,Leicester City,6,16,11,68.8,0.38,0.55,16.5,0,0,0,2.2,2.2,0.14,3.8,3.8,Match Report
01/10/2022,12:30,Matchweek 9,Sat,Away,L,1,3,Arsenal,1,6,2,33.3,0,0,19.9,0,1,1,1.6,0.8,0.13,-0.6,-0.8,Match Report
08/10/2022,17:30,Matchweek 10,Sat,Away,W,1,0,Brighton,1,8,3,37.5,0.13,0.33,18.7,1,0,0,0.8,0.8,0.1,0.2,0.2,Match Report
15/10/2022,17:30,Matchweek 11,Sat,Home,W,2,0,Everton,2,20,6,30,0.05,0.17,17.2,1,1,1,2.2,1.5,0.07,-0.2,-0.5,Match Report
19/10/2022,20:15,Matchweek 12,Wed,Away,L,0,2,Manchester Utd,0,9,2,22.2,0,0,14.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
23/10/2022,16:30,Matchweek 13,Sun,Home,L,1,2,Newcastle Utd,1,17,4,23.5,0.06,0.25,16.9,0,0,0,1.6,1.6,0.1,-0.6,-0.6,Match Report
29/10/2022,15:00,Matchweek 14,Sat,Away,W,3,2,Bournemouth,3,23,7,30.4,0.13,0.43,15.1,1,0,0,2,2,0.09,1,1,Match Report
06/11/2022,16:30,Matchweek 15,Sun,Home,L,1,2,Liverpool,1,14,5,35.7,0.07,0.2,14.4,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
12/11/2022,15:00,Matchweek 16,Sat,Home,W,4,3,Leeds United,4,14,7,50,0.29,0.57,14.5,0,0,0,1.8,1.8,0.13,2.2,2.2,Match Report
26/12/2022,12:30,Matchweek 17,Mon,Away,D,2,2,Brentford,2,15,8,53.3,0.13,0.25,19.7,1,0,0,1.1,1.1,0.07,0.9,0.9,Match Report
01/01/2023,14:00,Matchweek 18,Sun,Home,L,0,2,Aston Villa,0,6,1,16.7,0,0,15.2,1,0,0,0.7,0.7,0.11,-0.7,-0.7,Match Report
04/01/2023,20:00,Matchweek 19,Wed,Away,W,4,0,Crystal Palace,4,14,6,42.9,0.29,0.67,16.2,0,0,0,1.4,1.4,0.1,2.6,2.6,Match Report
15/01/2023,16:30,Matchweek 20,Sun,Home,L,0,2,Arsenal,0,17,7,41.2,0,0,16.3,1,0,0,1.6,1.6,0.09,-1.6,-1.6,Match Report
19/01/2023,20:00,Matchweek 7,Thu,Away,L,2,4,Manchester City,2,9,3,33.3,0.22,0.67,16.5,0,0,0,0.8,0.8,0.09,1.2,1.2,Match Report
23/01/2023,20:00,Matchweek 21,Mon,Away,W,1,0,Fulham,1,10,3,30,0.1,0.33,17,1,0,0,0.9,0.9,0.09,0.1,0.1,Match Report
05/02/2023,16:30,Matchweek 22,Sun,Home,W,1,0,Manchester City,1,12,3,25,0.08,0.33,14.7,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Match Report
11/02/2023,15:00,Matchweek 23,Sat,Away,L,1,4,Leicester City,1,11,4,36.4,0.09,0.25,16.8,2,0,0,1.3,1.3,0.12,-0.3,-0.3,Match Report
19/02/2023,16:30,Matchweek 24,Sun,Home,W,2,0,West Ham,2,16,6,37.5,0.13,0.33,21.5,0,0,0,1.5,1.5,0.1,0.5,0.5,Match Report
