Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,15:00,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1,16,2,12.5,0.06,0.5,16.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report
20/08/2023,16:30,Matchweek 2,Sun,Home,W,3,1,Chelsea,3,11,5,45.5,0.18,0.4,19.6,0,1,1,1.8,1,0.09,1.2,1,Match Report
26/08/2023,17:30,Matchweek 3,Sat,Away,W,3,1,Brighton,3,12,7,58.3,0.25,0.43,12.3,0,0,0,3,3,0.27,0,0,Match Report
01/09/2023,20:00,Matchweek 4,Fri,Away,W,2,1,Luton Town,2,9,3,33.3,0.22,0.67,16.5,0,0,0,1.1,1.1,0.12,0.9,0.9,Match Report
16/09/2023,15:00,Matchweek 5,Sat,Home,L,1,3,Manchester City,1,6,3,50,0.17,0.33,12.1,0,0,0,0.9,0.9,0.16,0.1,0.1,Match Report
24/09/2023,14:00,Matchweek 6,Sun,Away,L,1,3,Liverpool,1,11,4,36.4,0.09,0.25,13.5,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Match Report
30/09/2023,15:00,Matchweek 7,Sat,Home,W,2,0,Sheffield Utd,2,20,8,40,0.1,0.25,12.6,1,0,0,2.1,2.1,0.11,-0.1,-0.1,Match Report
08/10/2023,14:00,Matchweek 8,Sun,Home,D,2,2,Newcastle Utd,2,5,3,60,0.4,0.67,14.9,1,0,0,1.2,1.2,0.23,0.8,0.8,Match Report
22/10/2023,16:30,Matchweek 9,Sun,Away,L,1,4,Aston Villa,1,14,4,28.6,0.07,0.25,15.2,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
29/10/2023,13:00,Matchweek 10,Sun,Home,L,0,1,Everton,0,12,2,16.7,0,0,17.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report
04/11/2023,15:00,Matchweek 11,Sat,Away,L,2,3,Brentford,2,12,2,16.7,0.17,1,15.3,0,0,0,1.8,1.8,0.17,0.2,0.2,Match Report
12/11/2023,14:00,Matchweek 12,Sun,Home,W,3,2,Nott'ham Forest,3,16,6,37.5,0.19,0.5,18,1,0,0,1.8,1.8,0.11,1.2,1.2,Match Report
25/11/2023,15:00,Matchweek 13,Sat,Away,W,2,1,Burnley,1,11,3,27.3,0.09,0.33,13.2,0,0,0,0.9,0.9,0.08,0.1,0.1,Match Report
03/12/2023,14:00,Matchweek 14,Sun,Home,D,1,1,Crystal Palace,1,9,3,33.3,0.11,0.33,15.7,1,0,0,1.1,1.1,0.13,-0.1,-0.1,Match Report
07/12/2023,20:15,Matchweek 15,Thu,Away,W,2,1,Tottenham,2,11,5,45.5,0.18,0.4,15,0,0,0,2.2,2.2,0.22,-0.2,-0.2,Match Report
10/12/2023,14:00,Matchweek 16,Sun,Away,L,0,5,Fulham,0,9,5,55.6,0,0,19.2,1,0,0,1.3,1.3,0.15,-1.3,-1.3,Match Report
17/12/2023,14:00,Matchweek 17,Sun,Home,W,3,0,Wolves,3,13,4,30.8,0.23,0.75,19.8,2,0,0,1.1,1.1,0.09,1.9,1.9,Match Report
23/12/2023,12:30,Matchweek 18,Sat,Home,W,2,0,Manchester Utd,2,12,5,41.7,0.17,0.4,13.8,0,0,0,1.2,1.2,0.11,0.8,0.8,Match Report
28/12/2023,20:15,Matchweek 19,Thu,Away,W,2,0,Arsenal,2,5,2,40,0.4,1,17.4,0,0,1,1.4,0.6,0.13,0.6,1.4,Match Report
02/01/2024,19:30,Matchweek 20,Tue,Home,D,0,0,Brighton,0,6,2,33.3,0,0,16,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Match Report
21/01/2024,14:00,Matchweek 21,Sun,Away,D,2,2,Sheffield Utd,2,15,4,26.7,0.07,0.25,14.9,0,1,1,2.3,1.5,0.1,-0.3,-0.5,Match Report
01/02/2024,19:30,Matchweek 22,Thu,Home,D,1,1,Bournemouth,1,8,2,25,0,0,17.1,0,1,1,1.4,0.6,0.07,-0.4,-0.6,Match Report
04/02/2024,14:00,Matchweek 23,Sun,Away,L,0,3,Manchester Utd,0,22,3,13.6,0,0,18.9,1,0,0,1.4,1.4,0.06,-1.4,-1.4,Match Report
11/02/2024,14:00,Matchweek 24,Sun,Home,L,0,6,Arsenal,0,5,1,20,0,0,19.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report
17/02/2024,15:00,Matchweek 25,Sat,Away,L,0,2,Nott'ham Forest,0,10,3,30,0,0,18.9,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
26/02/2024,20:00,Matchweek 26,Mon,Home,W,4,2,Brentford,4,17,6,35.3,0.24,0.67,17.7,0,0,0,1.7,1.7,0.1,2.3,2.3,Match Report
02/03/2024,15:00,Matchweek 27,Sat,Away,W,3,1,Everton,3,12,5,41.7,0.25,0.6,14.2,0,0,0,1.9,1.9,0.16,1.1,1.1,Match Report
10/03/2024,14:00,Matchweek 28,Sun,Home,D,2,2,Burnley,2,22,4,18.2,0.09,0.5,14.8,0,0,0,2.1,2.1,0.1,-0.1,-0.1,Match Report
17/03/2024,14:00,Matchweek 29,Sun,Home,D,1,1,Aston Villa,1,13,4,30.8,0.08,0.25,15.9,1,0,0,2,2,0.16,-1,-1,Match Report
30/03/2024,12:30,Matchweek 30,Sat,Away,L,3,4,Newcastle Utd,3,10,4,40,0.3,0.75,14.1,0,0,0,1.4,1.4,0.14,1.6,1.6,Match Report
02/04/2024,20:15,Matchweek 31,Tue,Home,D,1,1,Tottenham,1,11,4,36.4,0.09,0.25,16.6,1,0,0,1.5,1.5,0.14,-0.5,-0.5,Match Report
06/04/2024,15:00,Matchweek 32,Sat,Away,W,2,1,Wolves,2,10,3,30,0.1,0.33,24.6,2,1,1,1.2,0.4,0.04,0.8,0.6,Match Report
14/04/2024,14:00,Matchweek 33,Sun,Home,L,0,2,Fulham,0,15,4,26.7,0,0,16.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report
