Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2021,15:00,Matchweek 1,Sat,Away,L,0,1,Leicester City,0,17,3,17.6,0,0,17.9,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Match Report
22/08/2021,14:00,Matchweek 2,Sun,Home,L,0,1,Tottenham,0,25,6,24,0,0,20.3,0,0,0,1.7,1.7,0.07,-1.7,-1.7,Match Report
29/08/2021,16:30,Matchweek 3,Sun,Home,L,0,1,Manchester Utd,0,15,5,33.3,0,0,15.9,0,0,0,2.1,2.1,0.15,-2.1,-2.1,Match Report
11/09/2021,15:00,Matchweek 4,Sat,Away,W,2,0,Watford,1,14,5,35.7,0.07,0.2,16.4,1,0,0,2.2,2.2,0.17,-1.2,-1.2,Match Report
18/09/2021,12:30,Matchweek 5,Sat,Home,L,0,2,Brentford,0,11,0,0,0,,22.8,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
26/09/2021,14:00,Matchweek 6,Sun,Away,W,1,0,Southampton,1,5,3,60,0.2,0.33,13.5,0,0,0,1,1,0.2,0,0,Match Report
02/10/2021,15:00,Matchweek 7,Sat,Home,W,2,1,Newcastle Utd,2,7,3,42.9,0.29,0.67,19.7,0,0,0,1,1,0.15,1,1,Match Report
16/10/2021,15:00,Matchweek 8,Sat,Away,W,3,2,Aston Villa,3,9,4,44.4,0.33,0.75,14.4,1,0,0,2,2,0.24,1,1,Match Report
23/10/2021,15:00,Matchweek 9,Sat,Away,D,1,1,Leeds United,1,8,4,50,0.13,0.25,16.5,1,0,0,0.9,0.9,0.11,0.1,0.1,Match Report
01/11/2021,20:00,Matchweek 10,Mon,Home,W,2,1,Everton,2,10,4,40,0.2,0.5,15.6,1,0,0,1.7,1.7,0.17,0.3,0.3,Match Report
06/11/2021,15:00,Matchweek 11,Sat,Away,L,0,2,Crystal Palace,0,4,2,50,0,0,18.8,1,0,0,0.3,0.3,0.08,-0.3,-0.3,Match Report
20/11/2021,15:00,Matchweek 12,Sat,Home,W,1,0,West Ham,1,15,5,33.3,0.07,0.2,19.1,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Match Report
27/11/2021,15:00,Matchweek 13,Sat,Away,D,0,0,Norwich City,0,5,2,40,0,0,17,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
